Binary Target,Year,County,Total Index Crime Rates per 100K,Unemployment Rate,Percent Hispanic Male,Percent Two or More Races Male,Percent Native Hawaiin Male,Percent Asain Male,Percent American Indian Male,Percent Black Male,Percent White Male,Population Percent Male,Prop Female household no Children,Female Household with Children under 6,Prop Female Household with Children under 18,Prop Female Household,Prop Male Household No Children,Prop Male Household with children under 6,Prop Male Household with children under 18,Prop Male Household,Prop Married no children under 18,Prop Married with children under 6,Prop Married with Children under 18,Prop Married-Couple Family,Prop Female Poverty 75+,Prop Female Poverty 65-74,Prop Female Poverty 55-64,Prop Female Poverty 45-54,Prop Female Poverty 35-44,Prop Female Poverty 25-34,Prop Female Poverty 18-24,Prop Female 17 and Under,Prop Female Poverty,Prop Male Poveryy 75+,Prop Male Poverty 65-74,Prop Male Poverty 55-64,Prop Male Poverty 45-54,Prop Male Poverty 35-44,Prop Male Poverty 25-34,Prop Male Poverty 18-24,Prop Male Poverty Under 17,Prop Male Poverty,Prop 3 Earner,Prop 2 Earner,Prop 1 Earner,Prop No Earners,2018 Normalized Per Capital Income Dollars,2018-percent change,Normalize 2018 GDP,Percent Change - 2018,Prop of Paraphernalia Drug Arrests per 100K,Prop Cannabis Arrests Per 100K,Prop Needle/Syringe Arrests per 100K,Prop Controlled Substance Arrests per 100K,Prop of Meth Arrests Per 100K
TRUE,2018,COOK,3135,4.1,12.948901384,0.986801909,0.037877323,3.719789016,0.37784515,10.867408101,33.427153342,48.552676355,12.458375781,1.81203677,11.434643852,23.893019633,5.029624786,0.820235748,3.217756964,8.24738175,39.52159391,7.064671069,28.338004707,67.859598617,0.507219524,0.522264253,0.832948619,0.814011334,1.036762857,1.29262057,1.087054682,2.420858495,8.513740334,0.215667071,0.328200868,0.685089875,0.640928826,0.650115259,0.823664873,0.856771062,2.428254352,6.628692187,12.847713223,41.115689564,33.420340833,12.61625638,-17458.588235294,5.4,-354516810.980392,2.1,42.465103088,148.454455214,1.753323222,265.445428874,2.138668985
FALSE,2018,CRAWFORD,815.5,5.2,1.486988848,0.568242167,0.031864047,0.223048327,0.19118428,4.77960701,47.153478492,52.421667552,5.642941408,2.988596146,8.906802989,14.549744396,3.8733779,1.258356272,3.165552497,7.038930397,50.235941801,6.84231223,28.175383405,78.411325206,0.559778446,0.724765777,0.736550586,0.630487302,0.3771139,1.314006246,0.807259443,1.408284721,6.55824642,0.312297449,0.436037947,0.618702492,0.47728478,0.748335396,0.418360733,0.883860704,1.154911319,5.04979082,12.013370035,41.191506095,30.495477782,16.299646087,-3585.588235294,7.5,4392264.01960784,3.8,122.594744417,122.594744417,21.320825116,106.60412558,186.557219764
FALSE,2018,CUMBERLAND,682.7,3.9,0.490559052,0.536838208,0.018511662,0.222139948,0.083302481,0.277674935,49.148463532,49.777860052,3.544648943,3.476482618,8.350374915,11.895023858,2.624403545,0.102249489,2.147239264,4.771642808,52.385821404,6.987048398,30.947511929,83.333333333,0.382498367,0.643716765,0.67170445,0.764996735,0.970239761,1.707248811,0.895605933,1.679261125,7.715271947,0.317193768,0.42914451,0.522436794,0.475790652,1.026215132,0.42914451,0.578412165,2.509562459,6.287899991,9.781867757,45.807770961,27.130197682,17.280163599,968.411764706,4.5,7202919.01960784,3.7,73.807546822,83.033490174,0,27.677830058,64.581603469
TRUE,2018,DEKALB,1820.2,4.3,5.769101764,0.952572617,0.042166192,1.299485381,0.233830703,3.665583762,44.278335202,49.586483819,6.852780807,2.865866957,12.030534351,18.883315158,2.66521265,0.863685932,4.157033806,6.822246456,43.72519084,6.774263904,30.569247546,74.294438386,0.190656808,0.231007455,0.464032442,0.553812632,0.829205798,1.276089215,3.514541364,2.073014496,9.13236021,0.122060708,0.195700639,0.360129526,0.335919137,0.421664262,1.027932735,3.063622883,1.809726523,7.336756413,11.842966194,44.505997819,30.92257361,12.728462377,3817.411764706,4.8,3932188.01960784,2.6,125.699262117,123.780189412,11.514436224,201.502633927,13.433508928
FALSE,2018,DOUGLAS,871.2,4,3.875012848,0.621852194,0,0.34433138,0.215849522,0.390584849,48.519888992,49.475794018,3.888669562,2.427951046,9.19857876,13.087248322,3.375444137,1.559415713,2.704303198,6.079747335,48.006316621,8.487958942,32.826687722,80.833004343,0.680447446,0.458786535,0.577349348,0.623743492,0.752616114,0.953657405,0.530955204,1.525851848,6.103407392,0.355688438,0.293829579,0.407237486,0.72684159,0.360843342,0.335068818,0.293829579,2.309397392,5.082736224,10.659297276,42.874062377,32.431898934,14.034741413,-6790.588235294,7.4,6544543.01960784,5.4,463.62339515,229.264316283,50.947625841,137.55858977,178.316690442
FALSE,2018,DUPAGE,1255.1,3.2,7.328360189,1.024214691,0.028039994,6.109375388,0.193475956,2.442822678,40.29756904,49.150442115,6.382756226,0.956221295,6.450101646,12.832857872,3.011302318,0.359733295,2.024545523,5.035847841,46.503057733,8.381367488,35.628236554,82.131294287,0.262341479,0.264192021,0.405704022,0.399281554,0.484950743,0.54188211,0.428672509,1.004190932,3.79121537,0.111359059,0.17928482,0.330049529,0.280084907,0.300658575,0.36564524,0.393838785,1.018995265,2.979916181,15.507851388,46.477123472,28.04790309,9.96712205,-28142.588235294,5.5,-75049462.9803922,1,68.442876067,59.281231239,3.772441988,82.347019394,2.586817363
FALSE,2018,EDGAR,1679.2,4.6,0.570276498,0.455069124,0.023041475,0.144009217,0.138248848,0.34562212,48.381336406,49.038018433,9.103182257,2.545805207,10.318225651,19.421407907,2.410800386,1.215043394,5.053037608,7.463837994,48.81388621,5.380906461,24.300867888,73.114754098,0.638903409,0.423999535,1.277806819,0.696985538,0.772492304,0.528547366,1.022245455,1.196491839,6.557472266,0.081314979,0.313643492,0.859615496,0.946738689,0.615670558,0.418191323,0.37172562,2.178079805,5.784979962,8.486017358,39.807135969,34.117647059,17.589199614,2562.411764706,4,6790143.01960784,1.6,351.061962436,0,105.318588731,157.977883096,561.699139898
FALSE,2018,EDWARDS,435.9,4.4,0.861124158,0.532331298,0,0.140911226,0.187881635,0.281822452,48.677000157,49.303272272,4.756814538,4.382683057,9.139497595,13.896312133,2.244788883,0.427578835,1.068947087,3.31373597,54.783538215,4.917156601,28.006413683,82.789951897,0.530090427,0.685999376,0.545681322,0.296227003,0.608044902,0.85749922,0.873090115,1.465544122,5.862176489,0.280636109,0.124727159,0.701590271,0.654817587,0.389772373,0.561272217,0.280636109,1.418771437,4.412223262,9.94120791,44.78888295,32.549438803,12.720470337,4415.411764706,3.1,7266954.01960784,-2.9,249.066002491,140.099626401,15.566625156,62.266500623,186.799501868
FALSE,2018,EFFINGHAM,1610.2,3.7,1.167315175,0.441765893,0.002925602,0.336444223,0.137503291,0.342295427,49.044790966,49.890289927,5.760905761,1.720501721,6.771006771,12.531912532,2.297702298,1.40970141,5.328005328,7.625707626,50.138750139,7.170607171,29.703629704,79.842379842,0.414245269,0.327819997,0.771867084,0.479809268,0.613917449,1.451348532,0.384443451,1.892415437,6.335866488,0.131127999,0.19967218,0.321859633,0.962598719,0.479809268,0.441066905,0.473848905,2.27983907,5.289822679,14.563214563,42.601842602,29.692529693,13.142413142,-5852.588235294,6,5504798.01960784,4.1,344.411409732,335.580347944,100.085366931,223.720231963,641.723823261
FALSE,2018,FAYETTE,1344.7,5.1,1.272931486,0.683264695,0.00935979,0.154436541,0.154436541,4.310183452,48.132721827,52.779857731,5.946048632,2.051671733,7.294832827,13.240881459,3.91337386,0.474924012,4.578267477,8.491641337,54.255319149,4.274316109,24.012158055,78.267477204,0.543122957,0.523007292,0.769424189,0.799597687,1.287402565,1.2672869,0.744279608,2.997234096,8.931355293,0.181040986,0.33693739,1.528790546,0.658788031,0.819713352,1.181795323,1.151621825,3.067638924,8.926326377,9.878419453,36.34118541,31.952887538,21.827507599,9290.411764706,5.7,6947743.01960784,4.8,258.768079109,46.208585555,97.038029666,184.834342221,300.355806109
FALSE,2018,FORD,1006.7,4.6,1.816530427,0.666061157,0.007568877,0.204359673,0.21192855,0.756887678,48.138056312,49.356645474,4.852495175,2.812241522,13.096222774,17.948717949,3.032809484,0.799558864,2.426247588,5.459057072,48.552522746,7.775020678,28.039702233,76.592224979,0.369458128,0.269396552,0.646551724,0.792795567,1.662561576,0.7466133,0.939039409,3.517549261,8.943965517,0.138546798,0.377155172,0.46182266,0.600369458,1.10067734,0.538793103,0.523399015,3.078817734,6.819581281,12.682657844,42.70747174,32.065067549,12.544802867,-8132.588235294,6.3,6758147.01960784,5,244.051250763,305.064063453,15.253203173,106.772422209,0
TRUE,2018,FRANKLIN,1840.9,6.1,0.863160615,0.708101822,0.00775294,0.155058793,0.165396046,0.335960718,48.649696343,49.334539346,8.99820036,3.209358128,11.607678464,20.605878824,3.169366127,1.799640072,4.189162168,7.358528294,49.610077984,4.079184163,22.425514897,72.035592881,0.719987478,0.563468461,1.134762874,1.312151093,1.588668023,1.492147963,1.179109929,2.634736787,10.625032608,0.357385089,0.286951531,1.273021339,1.338237596,0.712161528,0.9182449,0.941722753,3.156466844,8.984191579,7.378524295,33.723255349,34.763047391,24.135172965,7391.411764706,4.4,6298798.01960784,10.5,284.002891666,43.891355985,28.400289167,170.401734999,201.383868636
