CASEID,RESPONSE,RESIDUAL,TOTAL_INDEX_CRIME_RATES_PER_100K,PERCENT_HISPANIC_FEMALE,PERCENT_WHITE_MALE,PERCENT_NATIVE_HAWAIIN_FEMALE,PERCENT_OF_PARAPHERNALIA_DRUG_ARRESTS,PERCENT_NEEDLE_SYRINGE_ARRESTS,PERCENT_AMERICAN_INDIAN_FEMALE,PERCENT_ASAIN_FEMALE,PERCENT_CANNABIS_ARRESTS,PERCENT_AMERICAN_INDIAN_MALE,PERCENT_BLACK_MALE,PERCENT_WHITE_FEMALE,PERCENT_CONTROLLED_SUBSTANCE_ARRESTS,PERCENT_TWO_OR_MORE_RACES_MALE,UNEMPLOYMENT_RATE,PERCENT_OF_METH_ARRESTS,PERCENT_NATIVE_HAWAIIN_MALE,POPULATION_PERCENT_MALE,PERCENT_TWO_OR_MORE_RACES_FEMALE,PERCENT_ASAIN_MALE,PERCENT_BLACK_FEMALE,PERCENT_HISPANIC_MALE,HTS_PER_100K,SEXUAL_ASSAULT_PER_100K,ARSON_PER_100K,MVT_PER_100K,BURGLARY_PER_100K,COUNTY,POPULATION,HOMOCIDES_PER_100K,BATTERY_ASSAULT_PER_100K,HTIS_PER_100K,YEAR,THEFT_PER_100K,ROBBERY_PER_100K
351,978.133,98.7671,1076.9,0.0154869,0.49011,0.000168336,0.433735,2.40964,0.00143086,0.00260921,36.1446,0.0021042,0.00311422,0.490279,16.8675,0.00513425,6.6,1.20482,0.00042084,0.497685,0.00488174,0.00193586,0.00294588,0.0153186,0,32.8812,0,32.8812,353.473,"MARSHALL",12165,0,82.203,0,2016,558.981,16.4406
352,1254.63,-101.73,1152.9,0.00431444,0.485484,0,0.238806,4.47761,0.00190128,0.00241316,13.4328,0.00160878,0.00329068,0.496015,29.8507,0.0061426,7.1,28.3582,0.000146252,0.492285,0.00555759,0.00153565,0.00182815,0.00650823,0,81.861,20.4652,40.9305,204.652,"MASON",14659,0,191.009,0,2016,607.136,6.82175
353,2621.16,-248.36,2372.8,0.0130886,0.445083,0,0.320988,5.55556,0.00290859,0.00214681,24.0741,0.00242382,0.0283241,0.475139,24.0741,0.0110111,7.1,14.1975,0.000138504,0.47874,0.0121884,0.00242382,0.0288781,0.015374,6.70286,46.92,13.4057,80.4343,475.903,"MASSAC",14919,6.70286,234.6,0,2016,1481.33,33.5143
354,728.837,185.763,914.6,0.00782384,0.480561,0.000161316,0,0,0.00120987,0.00241975,83.3333,0.0019358,0.00467817,0.496774,0,0.00709792,4.7,16.6667,8.06582e-05,0.488789,0.00613002,0.00088724,0.00451686,0.00766253,0,14.7514,0,14.7514,132.763,"MENARD",13558,0,59.0058,0,2016,685.942,7.37572
355,800.825,-215.625,585.2,0.0134598,0.49218,0.000256377,0.333333,0,0.00044866,0.00262787,24.4444,0.00147417,0.00371747,0.490835,21.4815,0.00557621,6.2,20.7407,0.000128189,0.499295,0.00416613,0.00147417,0.00237149,0.0106397,0,9.75372,4.87686,19.5074,170.69,"MERCER",20505,0,58.5223,0,2016,316.996,4.87686
356,618.912,-121.512,497.4,0.00769616,0.489281,0.000147436,0.333333,8.33333,0.00112051,0.00389231,32.8125,0.00117949,0.00203462,0.493793,18.2292,0.00442308,4.1,7.29167,0.000117949,0.494884,0.00442308,0.00188718,0.00173975,0.00743078,0,2.90892,0,17.4535,104.721,"MONROE",34377,0,20.3625,0,2016,351.98,0
357,1253.49,182.212,1435.7,0.00643474,0.487974,0.000137642,0.430233,1.55039,0.000997901,0.00271842,26.3566,0.00127318,0.0323113,0.465504,21.7054,0.00375073,7.1,7.36434,0.000240873,0.523967,0.00426689,0.00192698,0.00240873,0.0114242,0,12.9925,9.74437,32.4812,289.083,"MONTGOMERY",30787,3.24812,68.2106,0,2016,1013.41,6.49625
358,1925.22,309.482,2234.7,0.00938438,0.452125,0.0001155,0.290625,0,0.00118388,0.00314738,31.5625,0.00268538,0.049434,0.458276,20,0.00918226,4.9,19.375,0.0003465,0.508345,0.00869138,0.0033495,0.0202414,0.014784,0,30.8815,8.42223,30.8815,395.845,"MORGAN",35620,0,179.674,0,2016,1572.15,16.8445
359,772.972,-26.6718,746.3,0.00561259,0.48371,0.000136893,0.368421,5.26316,0.00123203,0.0017796,31.5789,0.00123203,0.00260096,0.501574,10.5263,0.00472279,4.6,15.7895,0.000205339,0.489322,0.0036961,0.00130048,0.00225873,0.00718686,0,20.1708,0,40.3416,73.9595,"MOULTRIE",14873,0,161.366,0,2016,450.481,0
360,885.046,-54.4457,830.6,0.048389,0.484183,0.000293267,0.48503,2.39521,0.00170095,0.00324548,40.1198,0.00203331,0.00643231,0.486744,8.98204,0.00662783,5.9,0,0.000410573,0.496403,0.00692109,0.00297177,0.00469227,0.0510088,0,7.43273,0,29.7309,102.2,"OGLE",53816,0,29.7309,0,2016,652.222,9.29092
361,3462.5,93.9018,3556.4,0.023173,0.373967,0.000335057,0.225279,3.09544,0.00178337,0.0190118,40.3267,0.00205898,0.0868231,0.380501,33.8779,0.0145155,6.9,0.171969,0.000259399,0.485293,0.0147155,0.0214437,0.0983609,0.0240106,0,51.3539,39.4232,152.505,689.906,"PEORIA",192780,5.70599,323.685,0,2016,2123.66,170.142
362,850.602,-84.2016,766.4,0.00645131,0.462624,0.00032724,0.341991,7.79221,0.000981721,0.00229068,30.303,0.00247768,0.0782105,0.431396,23.3766,0.00963022,7.1,4.329,0.000280492,0.54752,0.00752653,0.00294516,0.00995746,0.0239353,0,4.48189,0,26.8914,156.866,"PERRY",22312,0,125.493,0,2016,439.226,13.4457
363,617.925,366.775,984.7,0.00695957,0.487473,0.00030259,0.375,0,0.000847252,0.00266279,37.5,0.00108932,0.00308642,0.495401,25,0.00526507,4.9,0,0.000121036,0.493767,0.00484144,0.00169451,0.00217865,0.00629388,0,5.32283,10.6457,26.6141,239.527,"PIATT",18787,0,143.716,0,2016,558.897,0
364,977.522,131.878,1109.4,0.00412908,0.4845,6.35243e-05,0.269231,1.28205,0.000825816,0.00171516,25.641,0.00165163,0.0121331,0.491297,14.7436,0.00476432,5.1,31.4103,0.000508195,0.500318,0.00425613,0.00139754,0.00152458,0.00806759,0,40.2368,0,28.7406,281.658,"PIKE",17397,0,45.9849,0,2016,712.767,0
365,396.894,-198.494,198.4,0.0248687,0.503853,0.000175131,0.25,0,0.00192644,0.00297723,75,0.000700525,0.00507881,0.475306,0,0.00595447,5.6,0,0,0.511559,0.00490368,0.00140105,0.00315236,0.0287215,0,0,0,13.224,79.3441,"PUTNAM",7562,0,13.224,0,2016,92.5681,0
366,404.751,-52.5508,352.2,0.00777442,0.457395,0.000215956,0.373077,5.76923,0.00126489,0.00225211,23.8462,0.00154254,0.0891282,0.424847,25.7692,0.00691059,5,7.30769,0.000493614,0.551151,0.00576911,0.00203616,0.0144999,0.0227062,0,5.41903,0,8.12854,75.8664,"RANDOLPH",36907,8.12854,48.7712,5.41903,2016,205.923,0
367,2374.79,245.506,2620.3,0.00827595,0.48449,0.00012635,0.295775,1.40845,0.00132668,0.00518037,30.2817,0.00164255,0.00379051,0.489039,11.2676,0.00606482,5.9,27.4648,6.31752e-05,0.494662,0.00707562,0.00442226,0.00259018,0.0076442,0,69.1215,31.4189,119.392,389.594,"RICHLAND",15914,6.28378,314.189,0,2016,1690.34,0
368,2797.88,120.419,2918.3,0.0622038,0.420759,0.000241474,0.274956,3.94046,0.00304947,0.0119978,43.4326,0.00268381,0.0558012,0.427258,20.7531,0.0142263,6.3,4.37828,0.000206978,0.493677,0.0134605,0.0134812,0.0503163,0.0640666,0,37.5999,9.23507,83.7753,441.305,"ROCK ISLAND",151596,2.63859,262.54,0,2016,2034.35,46.835
369,2919.25,103.745,3023,0.0191917,0.334154,0.000528142,0.299237,3.46056,0.00165662,0.00845407,38.9313,0.00185039,0.139745,0.330396,25.0382,0.0114861,6.1,2.64631,0.00044835,0.482824,0.0120409,0.0054486,0.1641,0.0205785,0,55.4436,13.3829,162.507,639.322,"ST. CLAIR",261527,14.9124,425.195,0,2016,1607.86,104.387
370,2403.92,-182.42,2221.5,0.0088733,0.463062,0.000206356,0.167568,6.48649,0.00231118,0.00383822,18.3784,0.00222864,0.0240611,0.475526,32.4324,0.0100289,8.6,25.9459,0.000619067,0.493232,0.00994635,0.0027239,0.0149402,0.00883203,0,11.8376,7.89173,114.43,611.609,"SALINE",25343,3.94586,335.398,0,2016,1124.57,11.8376
371,3725.73,507.874,4233.6,0.0114278,0.408219,0.000156545,0.344828,0.262726,0.00135841,0.0105037,48.3744,0.00127256,0.0601386,0.427343,14.6141,0.0118267,5,2.26601,0.000171695,0.480195,0.0123267,0.00973105,0.0681173,0.0110996,0.998612,71.9001,359.001,148.793,780.415,"SANGAMON",200278,3.99445,555.728,0,2016,2176.47,137.309
372,617.065,-8.36482,608.7,0.00796586,0.492888,0,0.423077,0,0.000711238,0.00256046,40.3846,0.000995733,0.028165,0.462304,3.84615,0.0029872,5.6,13.4615,0,0.523044,0.00312944,0.000853485,0.00825036,0.0125178,0,28.9855,0,0,115.942,"SCHUYLER",6900,0,115.942,0,2016,347.826,0
373,628.886,-130.886,498,0.00514648,0.483175,0.00118765,0.285714,0,0.000989707,0.00158353,28.5714,0.00178147,0.00277118,0.501188,14.2857,0.00435471,5.7,28.5714,0,0.488717,0.00494854,0.000593824,0.00138559,0.00633413,0,0,0,0,219.124,"SCOTT",5020,0,0,0,2016,278.884,0
