,Total.Index.Crime.Rates.per.100K,Unemployment.Rate,Percent.Hispanic.Male,Percent.Two.or.More.Races.Male,Percent.Native.Hawaiin.Male,Percent.Asain.Male,Percent.American.Indian.Male,Percent.Black.Male,Percent.White.Male,Population.Percent.Male,Percent.of.Meth.Arrests,Percent.Needle.Syringe.Arrests,Percent.Controlled.Substance.Arrests,Percent.of.Paraphernalia.Drug.Arrests,Percent.Cannabis.Arrests,Prop.Female.household.no.Children,Female.Household.with.Children.under.6,Prop.Female.Household.with.Children.under.18,Prop.Female.Household,Prop.Male.Household.No.Children,Prop.Male.Household.with.children.under.6,Prop.Male.Household.with.children.under.18,Prop.Male.Household,Prop.Married.no.children.under.18,Prop.Married.with.children.under.6,Prop.Married.with.Children.under.18,Prop.Married.Couple.Family,Prop.Female.Poverty.75.,Prop.Female.Poverty.65.74,Prop.Female.Poverty.55.64,Prop.Female.Poverty.45.54,Prop.Female.Poverty.35.44,Prop.Female.Poverty.25.34,Prop.Female.Poverty.18.24,Prop.Female.17.and.Under,Prop.Female.Poverty,Prop.Male.Poveryy.75.,Prop.Male.Poverty.65.74,Prop.Male.Poverty.55.64,Prop.Male.Poverty.45.54,Prop.Male.Poverty.35.44,Prop.Male.Poverty.25.34,Prop.Male.Poverty.18.24,Prop.Male.Poverty.Under.17,Prop.Male.Poverty,Prop.3.Earner,Prop.2.Earner,Prop.1.Earner,Prop.No.Earners,X2018.Normalized.Per.Capital.Income.Dollars,X2018.percent.change,Normalize.2018.GDP,Percent.Change...2018
Percent.of.Meth.Arrests,0.016770254,0.21188852,-0.507918907,-0.28841556,-0.006818313,-0.398319692,-0.103091978,-0.160688083,0.262834956,-0.006725496,1,-0.089185566,-0.5333134,-0.173429668,-0.61302806,0.094554622,0.099591898,0.012916435,0.054265563,-0.039376645,0.015191733,0.071309893,0.031779706,0.312546949,-0.313819634,-0.362292369,-0.054244644,0.363403917,0.373217338,0.473790149,0.367115874,0.301388305,0.288735133,0.007466355,0.294896242,0.367434577,0.225030226,0.330680902,0.350668051,0.180378762,0.151500501,0.210160557,-0.025744019,0.252540081,0.268614573,-0.505728811,-0.3460728,0.229415941,0.544743233,0.394879413,0.0616537,0.206172402,0.031530991
Percent.Needle.Syringe.Arrests,-0.130605664,0.045173567,-0.049958079,-0.044718092,-0.162919463,-0.11029045,-0.123156704,-0.125637294,0.172612534,0.035914075,-0.089185566,1,-0.211250286,-0.185644124,-0.299607073,-0.127437118,-0.147768164,-0.091048716,-0.123223458,-0.075526784,0.11716058,0.084412698,0.020883997,0.237948498,-0.068664525,-0.13684401,0.092832038,-0.042033723,-0.140789056,-0.054766289,-0.036920076,-0.037127268,-0.027574715,-0.08986339,-0.025995262,-0.082567201,0.00646558,0.108976065,-0.080265557,-0.001281213,-0.103402588,-0.133741978,-0.071644146,0.030869661,-0.058297543,0.037271448,-0.044312908,0.019098122,0.004342698,-0.148422624,-0.223616535,0.065919987,-0.222176827
Percent.Controlled.Substance.Arrests,0.252137407,-0.039228526,0.356972659,0.459837576,0.228090676,0.393394519,0.056703672,0.286093263,-0.478165674,-0.170812983,-0.5333134,-0.211250286,1,-0.447960503,0.21628839,0.215520819,-0.080316429,0.117036388,0.183266906,0.12289207,0.013529148,0.005006969,0.074957746,-0.440630784,0.1370989,0.252645161,-0.172640225,-0.21339806,-0.097520557,-0.1537934,-0.084537133,-0.069205909,-0.073659309,0.087968535,-0.037088372,-0.054657804,-0.215181508,-0.271482275,-0.184048172,-0.258126217,-0.204725863,0.009784034,0.121156652,-0.008660857,-0.10543535,0.304916397,0.074809819,-0.012730742,-0.291102526,-0.200039717,0.017178815,-0.272404313,0.130431035
Percent.of.Paraphernalia.Drug.Arrests,-0.190889019,-0.063285315,-0.008427479,-0.196794052,-0.038166587,-0.05663793,0.114852131,-0.077550384,0.199274745,0.203269789,-0.173429668,-0.185644124,-0.447960503,1,-0.045736261,-0.123727332,0.074329682,-0.083795467,-0.11650578,0.101475797,-0.065044682,-0.112892005,-0.027659215,0.096904459,0.037396017,0.012059164,0.103230394,0.086479846,-0.077238754,-0.064741437,-0.15963177,-0.081397034,-0.115804964,-0.084625814,-0.106119617,-0.133434708,0.065201218,-0.057364828,-0.078730695,0.042952685,0.098762948,-0.121948543,-0.126946701,-0.199542749,-0.128470219,0.000904784,0.116472836,-0.081834151,-0.056422135,0.070917627,0.033617839,0.123025901,-0.0330778
Percent.Cannabis.Arrests,-0.028964872,-0.252993334,0.392305986,0.117393762,-0.088467928,0.282306701,0.078330009,0.085032385,-0.173195763,-0.022536596,-0.61302806,-0.299607073,0.21628839,-0.045736261,1,-0.177501717,0.00269679,0.001024689,-0.084680827,-0.135182029,-0.078376944,-0.074704989,-0.135407023,-0.241287555,0.33686422,0.353004558,0.11263347,-0.347321825,-0.248301492,-0.424409539,-0.262295113,-0.262013468,-0.208745952,0.046626697,-0.276970673,-0.287493108,-0.150357779,-0.206210442,-0.155383598,0.005054597,0.015105175,-0.090314082,0.084242502,-0.199857806,-0.095294154,0.36393587,0.361276587,-0.272562395,-0.421489761,-0.300677859,0.048781008,-0.162669649,0.019912286
Prop.Female.household.no.Children,0.464953453,0.371745895,0.110570285,0.382600247,0.339455446,0.158079189,-0.069724079,0.417682602,-0.554811678,-0.212286723,0.094554622,-0.127437118,0.215520819,-0.123727332,-0.177501717,1,0.190093485,0.470938913,0.80142742,0.397038487,0.261096142,0.337615964,0.490007911,-0.453418085,-0.270137741,-0.390661744,-0.807751364,0.039366392,0.172339373,0.42823412,0.421854532,0.501596578,0.373296287,0.110846582,0.491431861,0.482036969,-0.141958203,0.251982402,0.370770107,0.231451776,0.416358793,0.432175672,0.124729309,0.512261055,0.484598888,-0.188910719,-0.481566046,0.526938024,0.207732628,0.131718499,-0.072702203,-0.336618841,0.018770438
Female.Household.with.Children.under.6,0.376892007,0.190234864,-0.092680849,0.261489235,-0.010365277,-0.094750731,0.003647342,0.183616764,-0.208111756,-0.111575009,0.099591898,-0.147768164,-0.080316429,0.074329682,0.00269679,0.190093485,1,0.690116136,0.559537515,0.215160419,0.110810853,0.220402657,0.294338578,-0.254646656,-0.089511974,-0.317895433,-0.548431515,0.05417916,0.236517349,0.30965017,0.330511374,0.280168798,0.593767341,0.310352896,0.404706698,0.517804719,-0.10616758,0.148517085,0.243659664,0.19223086,0.354602537,0.396216558,0.220933474,0.465800139,0.456695945,-0.302645122,-0.319775311,0.53555624,0.109301663,0.296272682,-0.188463772,0.070393929,-0.174663635
Prop.Female.Household.with.Children.under.18,0.541976586,0.300579343,0.070888441,0.550745866,0.237051842,0.076377946,0.13551609,0.471931228,-0.564382377,-0.165647152,0.012916435,-0.091048716,0.117036388,-0.083795467,0.001024689,0.470938913,0.690116136,1,0.905039717,0.325110243,0.025529705,0.175396821,0.323518909,-0.434794407,-0.149953768,-0.440011692,-0.837507859,0.046396799,0.189223536,0.380212774,0.409339127,0.520255046,0.620170913,0.348778892,0.620491827,0.663213056,-0.190550055,0.129919142,0.239095076,0.191316172,0.364149765,0.48820732,0.305320633,0.644773889,0.56320809,-0.358333912,-0.42905355,0.721349462,0.10962733,0.218401472,-0.061002769,-0.07057555,-0.039893676
Prop.Female.Household,0.591622523,0.382866661,0.101299919,0.558038097,0.324189234,0.127862343,0.058555331,0.521354837,-0.650068038,-0.214561294,0.054265563,-0.123223458,0.183266906,-0.11650578,-0.084680827,0.80142742,0.559537515,0.905039717,1,0.411846677,0.143193451,0.281693807,0.455592022,-0.513393339,-0.231909967,-0.486673244,-0.957263679,0.050436264,0.211381676,0.464245819,0.480917093,0.594562823,0.600445276,0.289909135,0.657620686,0.682055237,-0.197633066,0.209573455,0.340864966,0.241300874,0.447629832,0.539364493,0.267138655,0.684126052,0.61548893,-0.334025072,-0.52307239,0.743119216,0.174481416,0.211578844,-0.076411354,-0.21014618,-0.017997201
Prop.Male.Household.No.Children,0.313300826,0.215759804,0.217301002,0.193464501,0.23968203,0.142875561,0.033838048,0.08332336,-0.192128806,-0.127821587,-0.039376645,-0.075526784,0.12289207,0.101475797,-0.135182029,0.397038487,0.215160419,0.325110243,0.411846677,1,0.046189946,0.080586166,0.642172808,-0.383998936,-0.205314183,-0.183128966,-0.541922597,0.08468777,0.096704986,0.229446688,0.245779115,0.160175032,0.317934173,-0.0057839,0.243626806,0.238068674,-0.003383897,0.165406967,0.090463256,0.096241728,0.199531197,0.034825878,0.023345225,0.193162895,0.162322413,-0.048358323,-0.257888873,0.309413428,0.049809725,0.081267578,-0.138542955,-0.222364277,-0.109479794
