CASEID,RESPONSE,RESIDUAL,TOTAL_INDEX_CRIME_RATES_PER_100K,YEAR,HYPODERMIC_SYRINGES_AND_NEEDLES_ARRESTS,MOTOR_VEHICLE_THEFT,HUMAN_TRAFFICKING_INVOLUNTARY_SERVITUDE,SEXUAL_ASSAULT,ARSON,TOTAL_DRUG_ARRESTS_PER_100K,BURGLARY,CANNABIS_ARRESTS,TOTAL_DRUG_PARAPHERNALIA,HUMAN_TRAFFICKING_SEX,THEFT,ROBBERY,HOMOCIDES,CONTROLLED_SUBSTANCE_ARRESTS,BATTERY_ASSAULT,TOTAL_METH_ARRESTS,LABOR_FORCE,EMPLOYED,UNEMPLOYMENT_RATE,PERCENT_HISPANIC_FEMALE,PERCENT_HISPANIC_MALE,PERCENT_TWO_OR_MORE_RACES_FEMALE,PERCENT_TWO_OR_MORE_RACES_MALE,PERCENT_NATIVE_HAWAIIN_FEMALE,PERCENT_NATIVE_HAWAIIN_MALE,PERCENT_ASAIN_FEMALE,PERCENT_ASAIN_MALE,PERCENT_AMERICAN_INDIAN_FEMALE,PERCENT_AMERICAN_INDIAN_MALE,PERCENT_BLACK_FEMALE,PERCENT_BLACK_MALE,PERCENT_WHITE_MALE,PERCENT_WHITE_FEMALE,POPULATION_PERCENT_MALE,COUNTY,TOTAL_DRUG_ARRESTS,POPULATION,TOTAL_INDEX_CRIMES_REPORTED,UNEMPLOYED,YEAR_,TOT_POP
25,1670.9,184.701,1855.6,2015,2,5,0,8,2,1227.4,63,56,78,0,133,3,0,20,40,12,6654,6304,5.3,0.0136004,0.0159657,0.00613497,0.00569148,0.000221746,7.39153e-05,0.00258704,0.00199571,0.00103481,0.00221746,0.00303053,0.00650455,0.481632,0.494124,0.492867,"FORD",168,13688,254,350,2015,13529
26,1342.9,-64.1021,1278.8,2015,2,22,0,4,3,606.4,142,51,106,0,291,2,0,54,40,26,16494,15168,8,0.00771907,0.00863317,0.00591626,0.00611939,0.000101567,2.53917e-05,0.00266613,0.00167585,0.00238682,0.00172663,0.00233603,0.00284387,0.486073,0.493919,0.492675,"FRANKLIN",239,39411,504,1326,2015,39383
27,1035.32,189.483,1224.8,2015,0,19,0,9,5,608.2,76,76,97,0,297,4,1,40,30,6,15792,14595,7.6,0.00641223,0.0223728,0.00476017,0.00509618,0,0.000168006,0.00148405,0.00156806,0.00154006,0.00481617,0.0028561,0.0355613,0.477893,0.468709,0.520651,"FULTON",219,36007,441,1197,2015,35713
28,1366.33,-100.026,1266.3,2015,2,2,0,1,1,359.1,19,8,6,0,39,0,0,2,5,1,2467,2303,6.6,0.0072783,0.0107259,0.00823597,0.00555449,0,0,0.000574603,0.000383068,0.00134074,0.00210688,0.00229841,0.00363915,0.477112,0.504118,0.483432,"GALLATIN",19,5291,67,164,2015,5221
29,993.682,160.118,1153.8,2015,12,2,0,7,0,818.8,49,23,40,0,76,0,0,18,21,17,6050,5681,6.1,0.00472087,0.00689397,0.00344698,0.00412139,7.49344e-05,7.49344e-05,0.00104908,0.00104908,0.00112402,0.00112402,0.00202323,0.0100412,0.490821,0.488797,0.503484,"GREENE",110,13434,155,369,2015,13345
30,1361.85,-205.651,1156.2,2015,29,8,0,14,11,1235.5,109,229,261,1,413,6,0,98,21,6,25461,23689,7,0.0444771,0.0484483,0.0059369,0.00623474,0.000258126,0.000119135,0.00434843,0.00357405,0.00150904,0.00178703,0.00730695,0.00742609,0.485138,0.482279,0.498362,"GRUNDY",623,50425,583,1772,2015,50363
31,752.317,31.1825,783.5,2015,0,8,0,0,2,36.2,18,1,0,0,35,0,0,1,2,1,4379,4140,5.5,0.0078807,0.00872939,0.00630456,0.00400097,0,0.000121242,0.00218235,0.000969932,0.00206111,0.00206111,0.00157614,0.00412221,0.479995,0.500364,0.487512,"HAMILTON",3,8296,65,239,2015,8248
32,628.567,-305.067,323.5,2015,0,7,0,3,0,80.9,18,4,9,0,28,0,0,0,4,2,8917,8369,6.1,0.00702679,0.00752086,0.00592885,0.00581906,0.000658762,0.000384278,0.00203118,0.0016469,0.0017567,0.00120773,0.00192139,0.00285463,0.489679,0.491711,0.495993,"HANCOCK",15,18546,60,548,2015,18216
33,558.783,337.317,896.1,2015,0,3,0,1,0,72.7,6,0,0,0,21,0,0,1,6,2,1529,1400,8.4,0.00958938,0.00762233,0.00540939,0.00491763,0.000737644,0.000491763,0.00245882,0.00221293,0.00417998,0.0027047,0.00245882,0.00295058,0.493976,0.482174,0.502582,"HARDIN",3,4129,37,129,2015,4067
34,575.491,-575.491,0,2015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3751,3527,6,0.00957553,0.00686008,0.0054309,0.00500214,0.000428755,0.000428755,0.00314421,0.00114335,0.0015721,0.0015721,0.00128627,0.00185794,0.485494,0.497642,0.490496,"HENDERSON",0,6916,0,224,2015,6997
35,1366.85,176.45,1543.3,2015,3,12,0,23,0,644.7,88,133,129,0,604,1,0,39,38,16,25203,23669,6.1,0.0255047,0.0283855,0.00721222,0.00693017,0.000120875,0.000120875,0.00286071,0.00207502,0.00151094,0.00132963,0.00733309,0.0102744,0.484468,0.482473,0.498489,"HENRY",320,49635,766,1534,2015,49638
36,1203.69,264.512,1468.2,2015,3,12,0,6,1,457.1,102,44,44,0,269,4,0,32,30,9,14758,13925,5.6,0.0318,0.0350957,0.00634598,0.00606549,0.000210364,3.50607e-05,0.00343594,0.0021387,0.00147255,0.00171797,0.00424234,0.00645116,0.478017,0.495688,0.488605,"IROQUOIS",132,28879,424,833,2015,28522
37,2784.9,229.698,3014.6,2015,4,45,0,41,7,1141.1,367,323,253,0,1207,42,1,92,89,9,28644,27060,5.5,0.0207552,0.0216503,0.0139832,0.0139156,0.000388422,0.000455973,0.0178167,0.0195393,0.00298916,0.00258385,0.0796771,0.0696288,0.408484,0.383305,0.501841,"JACKSON",681,59677,1799,1584,2015,59214
38,447.863,-240.063,207.8,2015,0,0,0,0,0,93.5,3,3,4,0,15,0,0,2,2,0,4642,4354,6.2,0.00643821,0.00737279,0.00332295,0.00342679,0.000207684,0,0.00238837,0.00103842,0.00124611,0.00155763,0.000623053,0.00176532,0.498339,0.489304,0.502908,"JASPER",9,9623,20,288,2015,9630
39,2881.21,796.091,3677.3,2015,10,25,0,22,22,1455.9,263,159,154,0,858,32,2,90,193,148,17180,16027,6.7,0.00851798,0.0152331,0.00924958,0.00932797,0.000156773,0.000156773,0.00561768,0.00543478,0.00164611,0.00177676,0.0351171,0.0550272,0.452785,0.432745,0.515468,"JEFFERSON",561,38534,1417,1153,2015,38272
40,1749.88,88.7165,1838.6,2015,32,6,0,23,2,1382.3,83,79,120,0,289,0,0,71,12,10,11082,10384,6.3,0.00709793,0.00561545,0.00592992,0.00592992,8.98473e-05,0.000224618,0.00539084,0.00157233,0.00161725,0.00206649,0.00314465,0.00377358,0.478616,0.496945,0.486882,"JERSEY",312,22571,415,698,2015,22260
41,553.171,799.429,1352.6,2015,0,9,0,6,2,539.2,64,47,59,10,193,2,0,7,15,7,11456,10833,5.4,0.013369,0.0158162,0.00398804,0.00430527,0.000135956,0.00031723,0.00285507,0.00203934,0.000997009,0.00131424,0.00285507,0.00280975,0.493112,0.48935,0.499819,"JO DAVIESS",120,22254,301,623,2015,22066
42,922.28,-128.68,793.6,2015,2,4,0,1,0,365.1,15,12,16,0,45,0,1,7,34,9,4135,3784,8.5,0.00845269,0.0241841,0.00555686,0.00446114,7.82656e-05,0.000234797,0.00156531,0.000939188,0.000860922,0.0022697,0.00242624,0.0894576,0.469281,0.427017,0.562495,"JOHNSON",46,12601,100,351,2015,12777
43,1578.37,-145.568,1432.8,2015,10,239,0,119,36,473.3,1005,1356,744,0,5276,225,13,380,642,6,268299,252962,5.7,0.152858,0.160939,0.00939368,0.00916295,0.000382026,0.000374461,0.0215618,0.0195022,0.00474506,0.00538619,0.0306339,0.0297356,0.441711,0.436083,0.497201,"KANE",2496,527306,7555,15337,2015,528760
44,2023.46,456.435,2479.9,2015,10,78,0,39,37,431,491,188,135,0,1845,82,5,146,185,1,54269,50568,6.8,0.0468814,0.0527606,0.00917226,0.00968233,0.000170022,0.000232662,0.00539597,0.00469799,0.00204922,0.00198658,0.0785861,0.074264,0.409557,0.413298,0.491329,"KANKAKEE",480,111375,2762,3701,2015,111750
45,1393.5,-300.801,1092.7,2015,4,30,0,36,4,422.7,165,261,220,0,1030,19,0,27,42,1,66208,62761,5.2,0.0857192,0.0884373,0.0101401,0.00971695,0.000276697,0.000244145,0.0171064,0.0147789,0.0023031,0.00249028,0.0347092,0.0338059,0.443277,0.440396,0.495068,"KENDALL",513,121350,1326,3447,2015,122878
46,2394.78,-12.9793,2381.8,2015,0,37,0,27,4,505,230,115,48,0,797,18,1,75,150,30,23216,21810,6.1,0.0236325,0.0313023,0.0124781,0.0121666,0.0001752,9.73331e-05,0.00548958,0.00441892,0.0015768,0.00227759,0.0274674,0.0532996,0.442904,0.449328,0.503485,"KNOX",268,53069,1264,1406,2015,51370
47,1703,-97.2989,1605.7,2015,63,368,0,155,103,619,1695,2066,1581,0,8121,269,14,637,598,18,366809,347139,5.4,0.101799,0.107825,0.0101829,0.0102567,0.000432863,0.00047402,0.0389818,0.03644,0.00404479,0.00441662,0.037757,0.0363378,0.420963,0.409196,0.499405,"LAKE",4365,705186,11323,19670,2015,704611
48,1516.11,412.09,1928.2,2015,6,27,0,42,11,623.9,333,305,248,0,1611,16,2,127,103,8,57429,53449,6.9,0.0431458,0.0488655,0.00605302,0.00656644,0.000171142,0.000135112,0.00533242,0.00314361,0.00173844,0.00172043,0.00676461,0.0201227,0.478251,0.476171,0.50377,"LASALLE",694,111241,2145,3980,2015,111019
49,1154.52,-452.316,702.2,2015,11,16,0,1,0,950.4,40,43,45,0,42,0,0,25,17,33,6146,5712,7.1,0.00698451,0.0309141,0.00510173,0.00601275,0.00012147,0.000182205,0.00151837,0.00297601,0.00170058,0.00212572,0.00406924,0.0975402,0.455998,0.428545,0.558943,"LAWRENCE",157,16519,116,434,2015,16465
50,1326.71,-11.0143,1315.7,2015,1,18,2,21,3,667.9,94,114,44,2,282,6,0,73,29,0,17855,16907,5.3,0.023435,0.0353987,0.00750268,0.00715507,0.000231743,0.000231743,0.00460589,0.00344718,0.00121665,0.00194085,0.00735784,0.0455085,0.476869,0.450653,0.528432,"LEE",232,34735,457,948,2015,34521
51,1236.5,32.5032,1269,2015,7,7,0,19,1,680.7,80,102,79,0,319,7,1,70,47,0,17266,16342,5.4,0.0186313,0.0252698,0.00622866,0.00778582,8.1956e-05,2.73187e-05,0.00387925,0.00374266,0.0013113,0.00144789,0.0170195,0.0267723,0.470018,0.46898,0.5025,"LIVINGSTON",258,37903,481,924,2015,36605
52,1340.19,327.306,1667.5,2015,7,19,0,4,3,786.7,83,89,91,0,329,10,0,47,48,0,12991,12291,5.4,0.0114738,0.0222306,0.00659063,0.0072736,6.82967e-05,0.000102445,0.00430269,0.00344898,0.00133179,0.00218549,0.0280016,0.0514957,0.448538,0.453388,0.506317,"LOGAN",234,29746,496,700,2015,29284
53,2597.74,-1010.54,1587.2,2015,3,7,0,21,7,2274.2,76,385,244,0,326,3,0,70,66,23,14077,13225,6.1,0.0132596,0.0138319,0.00839454,0.0089033,0.000222583,0,0.0105886,0.0114153,0.00184426,0.00171707,0.02795,0.0258514,0.455881,0.455658,0.495342,"MCDONOUGH",725,31880,506,852,2015,31449
54,636.033,459.067,1095.1,2015,14,53,0,70,21,602.1,366,672,806,0,2627,18,2,351,208,7,165762,156757,5.4,0.0598527,0.0643492,0.00730561,0.00743241,0.000253599,0.000282861,0.0150436,0.0127417,0.00223362,0.00232791,0.00687644,0.00800463,0.474347,0.470267,0.49802,"MCHENRY",1850,307283,3365,9005,2015,307572
55,2127.01,-173.112,1953.9,2015,11,114,0,103,10,970.9,544,829,544,0,2278,59,0,297,293,9,91296,86960,4.7,0.0229177,0.0238014,0.0118632,0.0114242,0.000196372,0.000265679,0.0267701,0.0283064,0.00145546,0.0013977,0.0397884,0.0380615,0.417729,0.433716,0.486211,"MCLEAN",1690,174061,3401,4336,2015,173141
56,3566.57,-582.771,2983.8,2015,1,66,0,35,31,1228.4,721,627,418,0,1992,125,6,217,257,68,50862,47341,6.9,0.0109649,0.0108065,0.0135174,0.0137783,0.00020495,0.000195635,0.00609262,0.00552435,0.00113654,0.0014626,0.0920414,0.0808343,0.390561,0.40774,0.479267,"MACON",1331,108350,3233,3521,2015,107343
57,1167.8,201.295,1369.1,2015,7,15,0,10,3,770.7,113,130,143,0,424,4,2,52,65,26,23062,21612,6.3,0.00582004,0.00503531,0.00496992,0.0051879,6.53937e-05,0.000174383,0.00228878,0.00143866,0.00178743,0.00161304,0.00431598,0.00477374,0.485265,0.493046,0.493526,"MACOUPIN",358,46453,636,1450,2015,45876
58,1916.96,21.042,1938,2015,74,187,0,101,36,664.8,829,548,601,0,3631,68,2,488,312,61,133073,125128,6,0.0147935,0.0159589,0.00948511,0.00951894,0.000266921,0.000315794,0.00527827,0.00428202,0.00159025,0.00159025,0.0454405,0.0389705,0.441646,0.450695,0.487244,"MADISON",1772,266560,5166,7945,2015,265996
59,2058.02,469.778,2527.8,2015,12,40,0,33,6,793.3,198,68,74,0,602,10,4,83,82,69,18100,16884,6.7,0.00831617,0.0105321,0.00886363,0.0088897,7.82085e-05,0.000182487,0.00388436,0.00271123,0.00164238,0.00205949,0.0199171,0.0205428,0.461691,0.477984,0.48763,"MARION",306,38571,975,1216,2015,38359
60,1124.66,-458.759,665.9,2015,2,2,0,5,0,574.3,20,28,32,0,42,0,1,7,10,0,5708,5332,6.6,0.0164361,0.0155136,0.00628931,0.0045283,0.000167715,0.000419287,0.00259958,0.00184486,0.001174,0.00192872,0.00251572,0.00293501,0.489811,0.490147,0.497107,"MARSHALL",69,12014,80,376,2015,11925
61,1097.18,356.219,1453.4,2015,2,5,0,9,2,417.3,41,20,11,0,121,2,0,17,22,8,6611,6142,7.1,0.00461661,0.00634783,0.00562649,0.00656424,0,0.000144269,0.0023083,0.00144269,0.00201977,0.00144269,0.00180336,0.00353459,0.485465,0.49578,0.492462,"MASON",58,13898,202,469,2015,13863
62,2405.41,358.793,2764.2,2015,7,15,0,6,1,905.7,75,38,41,0,275,3,0,32,37,17,6081,5640,7.3,0.0126313,0.0144848,0.0125626,0.0107091,0,0.000205945,0.00226539,0.00226539,0.00267728,0.00205945,0.0291755,0.0280772,0.446695,0.473673,0.479646,"MASSAC",135,14905,412,441,2015,14567
63,825.985,-237.285,588.7,2015,0,0,0,0,0,111.4,19,6,7,0,44,0,0,1,11,0,6616,6301,4.8,0.00744577,0.00687925,0.00582713,0.00720298,8.09323e-05,8.09323e-05,0.00242797,0.000890256,0.00129492,0.00186144,0.00412755,0.00469408,0.479524,0.498948,0.487294,"MENARD",14,12570,74,315,2015,12356
