County,Percent Hispanic Female,Percent Hispanic Male,Percent Two or More Races Female,Percent Two or More Races Male,Percent Native Hawaiin Female,Percent Native Hawaiin Male,Percent Asain Female,Percent Asain Male,Percent American Indian Female,Percent American Indian Male,Percent Black Female,Percent Black Male,Percent White Male,Percent White Female,Population Percent Male,YEAR,TOT_POP
COLES,1.319610438,1.406530886,0.886983663,0.831670651,0.021730112,0.106675095,0.584737560,0.466209676,0.140257996,0.116552419,1.999170305,2.032753205,45.779419608,47.792418166,48.574702199,2019,50621
COOK,12.235873998,12.696011203,0.949698022,0.917108942,0.035964309,0.038233531,3.816984002,3.521165167,0.358632426,0.381686959,13.265471518,11.063887563,33.368948042,33.081881921,48.491367803,2015,5244088
COOK,12.346753768,12.791313316,0.967388375,0.943346748,0.035794461,0.037957442,3.890915328,3.581360235,0.356279306,0.378559922,13.176878999,11.006356484,33.397705939,33.051495022,48.521248511,2016,5224272
COOK,12.435344343,12.869929575,0.985209835,0.965309131,0.035648218,0.037590219,3.988716397,3.664594494,0.353655702,0.377113536,13.069436537,10.917622429,33.430144971,33.019690545,48.547642766,2017,5200821
COOK,12.532386175,12.948901384,1.006620314,0.986801909,0.035653795,0.037877323,4.058558071,3.719789016,0.353715033,0.377845150,13.006887138,10.867408101,33.427153342,32.985889295,48.552676355,2018,5171960
COOK,12.611410008,13.004576686,1.028031159,1.006168070,0.035804205,0.037823531,4.125502671,3.780236739,0.357537222,0.379109062,12.972811133,10.841431834,33.395343473,32.921889165,48.558424444,2019,5150233
CRAWFORD,0.753051156,1.448974292,0.488184887,0.503765256,0.015580369,0.031160737,0.353155025,0.228512075,0.155803687,0.202544794,0.321994287,4.591015321,46.829394962,46.741106206,51.924175539,2015,19255
CRAWFORD,0.731720065,1.484346417,0.496524330,0.538336905,0.015679716,0.031359431,0.365860032,0.240422307,0.162023729,0.177703444,0.324047457,4.620289552,46.965975017,46.568755553,52.067109183,2016,19133
CRAWFORD,0.758893281,1.523056653,0.532279315,0.553359684,0.015810277,0.031620553,0.353096179,0.226613966,0.179183136,0.184453228,0.347826087,4.679841897,47.130434783,46.255599473,52.316205534,2017,18975
CRAWFORD,0.738183749,1.486988848,0.568242167,0.568242167,0.015932023,0.031864047,0.377057886,0.223048327,0.191184280,0.191184280,0.382368561,4.779607010,47.153478492,46.043547531,52.421667552,2018,18830
CRAWFORD,0.760700702,1.548186640,0.610703380,0.637488616,0.016071142,0.032142283,0.423206728,0.241067124,0.187496652,0.198210746,0.374993304,4.821342476,47.136658274,45.909894466,52.477634328,2019,18667
CUMBERLAND,0.561694291,0.469613260,0.460405157,0.497237569,0.046040516,0.018416206,0.386740331,0.202578269,0.092081031,0.082872928,0.267034991,0.313075506,49.401473297,48.664825046,50.082872928,2015,10860
CUMBERLAND,0.570482149,0.496871550,0.450864925,0.487670225,0.046006625,0.009201325,0.395656975,0.202429150,0.101214575,0.092013250,0.211630475,0.266838425,49.493927126,48.693411851,50.101214575,2016,10868
CUMBERLAND,0.551470588,0.505514706,0.441176471,0.477941176,0.064338235,0.009191176,0.395220588,0.202205882,0.101102941,0.082720588,0.202205882,0.275735294,49.476102941,48.713235294,50.082720588,2017,10880
CUMBERLAND,0.564605702,0.490559052,0.472047390,0.536838208,0.064790818,0.018511662,0.398000740,0.222139948,0.101814143,0.083302481,0.231395779,0.277674935,49.148463532,48.954091077,49.777860052,2018,10804
CUMBERLAND,0.538733048,0.566598551,0.483002043,0.557310050,0.065019506,0.018577002,0.390117035,0.241501022,0.111462010,0.111462010,0.241501022,0.260078023,49.099015419,48.941110905,49.767787479,2019,10766
DEKALB,5.269926580,5.430202985,0.961658429,0.913671481,0.034550602,0.035510341,1.389702001,1.346513748,0.183310140,0.226498392,4.030903594,3.331253899,44.643217045,43.747780604,49.652094630,2015,104195
DEKALB,5.357417371,5.548616449,1.021329746,0.937740200,0.033627978,0.035549577,1.387394312,1.340315142,0.200807071,0.226748655,4.140084550,3.431014604,44.468677940,43.647194466,49.569561875,2016,104080
DEKALB,5.455905051,5.603543318,1.044013460,0.961566116,0.034512842,0.034512842,1.388183186,1.317240123,0.207077050,0.231044301,4.312187827,3.532772819,44.406522927,43.429617770,49.584407865,2017,104309
DEKALB,5.661769638,5.769101764,1.071404613,0.952572617,0.040249547,0.042166192,1.378067830,1.299485381,0.222330832,0.233830703,4.401575482,3.665583762,44.278335202,43.299887876,49.586483819,2018,104349
DEKALB,5.758982621,5.892446876,1.082967101,1.004795180,0.042899225,0.043852541,1.403281314,1.304136439,0.220216021,0.244048924,4.553037742,3.780851693,44.197641496,43.060335377,49.637263220,2019,104897
DE WITT,1.198714780,1.303756797,0.574641621,0.617894217,0.024715769,0,0.253336629,0.135936728,0.092684132,0.160652496,0.327483935,0.599357390,48.869253584,48.900148295,49.826989619,2015,16184
DE WITT,1.251781620,1.425295904,0.619693871,0.619693871,0.030984694,0.018590816,0.272665303,0.148726529,0.086757142,0.173514284,0.334634690,0.588709178,48.720332156,48.962012766,49.693251534,2016,16137
DE WITT,1.408273607,1.433421350,0.647554382,0.653841318,0.031434679,0.018860807,0.289199044,0.201181944,0.113164843,0.182321137,0.295485980,0.553250346,48.717465108,48.906073180,49.717087891,2017,15906
DE WITT,1.386602507,1.500569837,0.658477903,0.639483348,0.031657591,0.018994555,0.278586805,0.183614031,0.107635811,0.158287957,0.297581360,0.550842092,48.581739901,49.107255920,49.518804609,2018,15794
