Year,County,Population,Total Index Crime Rates per 100K,Unemployment Rate,Percent Hispanic Female,Percent Hispanic Male,Percent Two or More Races Female,Percent Two or More Races Male,Percent Native Hawaiin Female,Percent Native Hawaiin Male,Percent Asain Female,Percent Asain Male,Percent American Indian Female,Percent American Indian Male,Percent Black Female,Percent Black Male,Percent White Male,Percent White Female,Population Percent Male,HTIS per 100K,Arson per 100K,Percent of Meth Arrests,Percent Needle/Syringe Arrests,Percent Controlled Substance Arrests,HTS Per 100K,Percent of Paraphernalia Drug Arrests,Battery/Assault Per 100K,Sexual Assault Per 100k,Percent Cannabis Arrests,MVT Per 100K,Theft per 100K,Burglary per 100K,Robbery Per 100K,Homocides Per 100k
2015,MASON,13898,1453.4,7.1,0.461660535,0.634783236,0.562648777,0.656423574,0,0.014426892,0.230830268,0.144268917,0.201976484,0.144268917,0.180336147,0.353458847,48.546490659,49.578013417,49.246194907,0,14.390559793,13.793103448,3.448275862,29.310344828,0,0.189655172,158.296157721,64.757519067,34.482758621,35.976399482,870.628867463,295.006475752,14.390559793,0
2015,MASSAC,14905,2764.2,7.3,1.26312899,1.44847944,1.256264159,1.070913709,0,0.020594494,0.226539438,0.226539438,0.267728427,0.205944944,2.917553374,2.807716071,44.669458365,47.367337132,47.96457747,0,6.709158001,12.592592593,5.185185185,23.703703704,0,0.303703704,248.238846025,40.254948004,28.148148148,100.63737001,1845.018450185,503.18685005,20.127474002,0
2015,MENARD,12570,588.7,4.8,0.744577533,0.687924895,0.582712852,0.720297831,0.008093234,0.008093234,0.242797022,0.089025575,0.129491745,0.186144383,0.412754937,0.469407575,47.952411784,49.894787957,48.729362253,0,0,0,0,7.142857143,0,0.5,87.509944312,0,42.857142857,0,350.039777247,151.153540175,0,0
2015,MERCER,15945,514.3,6.2,1.181252382,0.971675346,0.406452432,0.520767179,0.012701639,0.006350819,0.260383589,0.146068843,0.031754096,0.107963927,0.273085228,0.349295059,49.028324654,49.352216436,49.663406579,0,0,0,0,0,0,1,0,0,0,6.271558482,376.293508937,131.702728128,0,0
2015,MONROE,33722,563.4,4.4,0.755801891,0.690595453,0.411986129,0.406058271,0.014819645,0.020747503,0.376418981,0.207475029,0.109665372,0.112629301,0.154124307,0.180799668,49.064880405,49.328670085,49.604315481,0,0,3.424657534,4.109589041,15.068493151,0,0.390410959,5.930846332,5.930846332,38.356164384,17.792538995,373.643318902,154.202004626,2.965423166,2.965423166
2015,MONTGOMERY,29359,1634.9,7.5,0.568648945,1.085913949,0.445327487,0.376815566,0.013702384,0.023979172,0.24321732,0.181556591,0.102767882,0.123321458,0.250068512,3.137845985,48.907234859,46.557275966,52.387640449,0,10.218331687,2.255639098,0.37593985,24.812030075,0,0.473684211,122.619980245,6.812221125,25.187969925,30.654995061,1147.859259512,309.956061174,6.812221125,0
2015,MORGAN,34929,2064.2,5,0.940212846,1.352637499,0.902719695,0.89406743,0.008652265,0.031724973,0.291292937,0.305713379,0.118247628,0.242263433,1.990021054,4.415539469,45.369595939,46.278083812,50.410982609,0,14.314752784,15.598885794,0.278551532,14.484679666,0,0.339832869,157.462280626,20.040653898,35.6545961,20.040653898,1517.363795127,320.650462367,11.451802227,2.862950557
2015,MOULTRIE,14837,121.3,4.3,0.583327681,0.691853761,0.393407041,0.434104321,0,0.02034864,0.14922336,0.1356576,0.12209184,0.12209184,0.18313776,0.26453232,48.389065997,50.19331208,48.958827918,0,0,0,0,0,0,0.5,13.479813979,0,50,0,94.35869785,13.479813979,0,0
2015,OGLE,52085,543.3,6.1,4.757656277,5.013673655,0.661378227,0.636164394,0.029092884,0.040730037,0.316142672,0.292868364,0.170678252,0.203650187,0.455788514,0.614829613,48.445470238,48.7305805,49.636338951,0,3.839877124,0,3.135888502,7.665505226,0,0.445993031,28.799078429,5.759815686,44.599303136,21.119324182,378.227896707,101.756743784,3.839877124,0
2015,PEORIA,187319,3538.3,6.8,2.242587717,2.32195237,1.426955025,1.431245006,0.030029869,0.023594897,1.86828685,2.092438372,0.168918013,0.204846606,9.743083746,8.611601182,37.555568664,38.206573324,48.556153174,0,27.226282438,0.479233227,2.236421725,22.523961661,0,0.256389776,264.255094251,47.512532098,49.121405751,98.228156247,2209.065818203,705.747948686,177.77160886,8.541578804
