,Total.Index.Crime.Rates.per.100K,Unemployment.Rate,Percent.Hispanic.Female,Percent.Hispanic.Male,Percent.Two.or.More.Races.Female,Percent.Two.or.More.Races.Male,Percent.Native.Hawaiin.Female,Percent.Native.Hawaiin.Male,Percent.Asain.Female,Percent.Asain.Male,Percent.American.Indian.Female,Percent.American.Indian.Male,Percent.Black.Female,Percent.Black.Male,Percent.White.Male,Percent.White.Female,Population.Percent.Male,HTIS.per.100K,Arson.per.100K,Percent.of.Meth.Arrests,Percent.Needle.Syringe.Arrests,Percent.Controlled.Substance.Arrests,HTS.Per.100K,Percent.of.Paraphernalia.Drug.Arrests,Battery.Assault.Per.100K,Sexual.Assault.Per.100k,Percent.Cannabis.Arrests,MVT.Per.100K,Theft.per.100K,Burglary.per.100K,Robbery.Per.100K,Homocides.Per.100k,Prop.Female.household.no.Children,Female.Household.with.Children.under.6,Prop.Female.Household.with.Children.under.18,Prop.Female.Household,Prop.Male.Household.No.Children,Prop.Male.Household.with.children.under.6,Prop.Male.Household.with.children.under.18,Prop.Male.Household,Prop.Other.Family.Type..Not.Married.,Prop.Married.no.children.under.18,Prop.Married.with.children.under.6,Prop.Married.with.Children.under.18,Prop.Married.Couple.Family,Prop.Female.Poverty.75.,Prop.Female.Poverty.65.74,Prop.Female.Poverty.55.64,Prop.Female.Poverty.45.54,Prop.Female.Poverty.35.44,Prop.Female.Poverty.25.34,Prop.Female.Poverty.18.24,Prop.Female.17.and.Under,Prop.Female.Poverty,Prop.Male.Poveryy.75.,Prop.Male.Poverty.65.74,Prop.Male.Poverty.55.64,Prop.Male.Poverty.45.54,Prop.Male.Poverty.35.44,Prop.Male.Poverty.25.34,Prop.Male.Poverty.18.24,Prop.Male.Poverty.Under.17,Prop.Male.Poverty,Prop.3.Earner,Prop.2.Earner,Prop.1.Earner,Prop.No.Earners,X2018.Normalized.Per.Capital.Income.Dollars,X2018.percent.change,X2018.rank.percent..change,Normalize.2018.GDP,Percent.Change...2018,Rank.in.State.for.Percent.Change...2018
Prop.Male.Poveryy.75.,-0.125031218,0.250018396,-0.213862145,-0.22409969,-0.264611381,-0.307752686,0.011945109,-0.14354794,-0.237573193,-0.255208478,-0.076058871,-0.106456079,-0.199333768,-0.133960472,0.253493634,0.200325728,0.090199154,-0.03842808,-0.097466737,0.225030226,0.00646558,-0.215181508,-0.026519657,0.065201218,-0.079045196,-0.040201996,-0.150357779,-0.04501604,-0.151482143,-0.043557752,-0.151891839,-0.146712848,-0.141958203,-0.10616758,-0.190550055,-0.197633066,-0.003383897,0.041504672,-0.09955964,-0.078530779,-0.185447668,0.430719965,-0.275657827,-0.233524623,0.185447668,0.347384804,0.26384603,0.253600458,0.164084365,-0.042963925,0.042942318,-0.10371238,-0.022509435,0.053934335,1,0.336881351,0.220666083,0.232083073,-0.006703785,-0.104600462,-0.116451045,-0.153329934,0.048996626,-0.218563401,-0.16221144,-0.084064019,0.404205075,0.224927613,-0.046581225,0.07982266,0.056692807,-0.105220415,0.124346153
Prop.Male.Poverty.65.74,0.043967767,0.404078688,-0.263776693,-0.298396966,-0.065651208,-0.164489807,0.054274542,-0.063209674,-0.196369618,-0.202993358,-0.057969797,-0.154475443,-0.019181612,-0.060019106,0.097405345,0.092220242,-0.039233227,-0.033297093,0.074015013,0.330680902,0.108976065,-0.271482275,-0.063732772,-0.057364828,0.042334045,-0.016808983,-0.206210442,0.034429406,0.028762273,0.098414833,-0.067269997,-0.075991494,0.251982402,0.148517085,0.129919142,0.209573455,0.165406967,0.188870888,0.273415101,0.306241581,0.269092148,0.141663199,-0.308669838,-0.419804234,-0.269092148,0.020837175,0.287376929,0.391685413,0.467406037,0.220490705,0.265589446,-0.017976081,0.295654981,0.313400048,0.336881351,1,0.538759168,0.595186734,0.552884216,0.301954682,-0.008022474,0.229256014,0.519816401,-0.367423025,-0.37834673,0.182368254,0.518609837,0.182746418,-0.085915839,0.116268557,0.019957401,-0.093604077,0.129421689
Prop.Male.Poverty.55.64,0.146918059,0.321842233,-0.245829263,-0.254187225,-0.027417966,-0.04569334,-0.008298388,-0.077803836,-0.211970395,-0.200696478,-0.083409121,-0.113860808,0.073792458,0.072497397,0.0077896,-0.015744319,0.025768754,0.031911691,0.098024981,0.350668051,-0.080265557,-0.184048172,0.038724776,-0.078730695,0.101394486,0.066875333,-0.155383598,0.1623995,0.109362357,0.243821957,0.027029096,-0.032677776,0.370770107,0.243659664,0.239095076,0.340864966,0.090463256,0.09658492,0.359624563,0.329059805,0.382752608,0.069783216,-0.31266438,-0.466780841,-0.382752608,0.252052828,0.222507732,0.554203171,0.49245221,0.306831791,0.295141818,0.049263403,0.26968066,0.381946123,0.220666083,0.538759168,1,0.709984448,0.600698365,0.544776826,0.087806709,0.322910469,0.698757162,-0.391729532,-0.418447913,0.259940873,0.513579446,0.337092684,-0.007896899,0.025530816,0.048683914,0.032456624,-0.000325643
Prop.Male.Poverty.45.54,0.029194716,0.124812332,-0.207382087,-0.175981429,-0.160982778,-0.208834243,-0.046736045,-0.212251709,-0.191686505,-0.182812156,-0.128983814,0.037801354,-0.060591947,0.035509522,0.108996291,0.030529382,0.162502954,-0.093328679,-0.046144988,0.180378762,-0.001281213,-0.258126217,0.019819204,0.042952685,0.083744101,0.008745235,0.005054597,0.009120519,0.01219823,0.052937111,-0.036105676,-0.035596546,0.231451776,0.19223086,0.191316172,0.241300874,0.096241728,0.177330534,0.364058279,0.335822257,0.304377967,0.077055081,-0.155751856,-0.392536256,-0.304377967,0.180279297,-0.023750337,0.283031294,0.359191856,0.138721588,0.17042532,-0.004178253,0.111303196,0.181020535,0.232083073,0.595186734,0.709984448,1,0.681835534,0.351322009,0.029797285,0.122038583,0.613885876,-0.423082019,-0.179973643,0.172263278,0.354578934,0.220210339,-0.046091145,0.054314329,0.050703468,-0.107225636,0.146571478
Prop.Male.Poverty.35.44,0.104968406,0.234865983,-0.156267589,-0.112962232,0.042421793,-0.015582887,-0.012523562,-0.007157569,-0.157030099,-0.142970388,-0.055506936,0.079061216,0.08780449,0.217252692,-0.081852171,-0.112384811,0.151566721,-0.035688222,0.049728631,0.151500501,-0.103402588,-0.204725863,0.008484208,0.098762948,0.145822849,0.120540676,0.015105175,0.083269504,0.068065256,0.143791313,0.062665176,-0.025265128,0.416358793,0.354602537,0.364149765,0.447629832,0.199531197,0.331751512,0.392766391,0.417828803,0.497991995,-0.151178699,-0.104931622,-0.367871377,-0.497991995,0.07122119,0.013394837,0.257100121,0.322646966,0.455258904,0.362882269,0.159835147,0.308929101,0.381848705,-0.006703785,0.552884216,0.600698365,0.681835534,1,0.511588519,0.177045498,0.365303123,0.722507441,-0.374154719,-0.30775598,0.373371114,0.285803641,0.317521697,-0.031738707,0.059110584,0.028037825,-0.052018857,0.070498153
Prop.Male.Poverty.25.34,0.404944685,0.283347609,-0.17198234,-0.179375663,0.405140537,0.369968136,0.038791598,0.225223722,0.061926575,0.098974449,0.009902304,-0.041889804,0.401026158,0.316868758,-0.372841659,-0.334490403,-0.084011213,-0.025539735,0.216191042,0.210160557,-0.133741978,0.009784034,0.062082903,-0.121948543,0.240444701,0.266831203,-0.090314082,0.30433747,0.408951836,0.37518457,0.281040475,0.114440645,0.432175672,0.396216558,0.48820732,0.539364493,0.034825878,0.176236145,0.368358458,0.303496057,0.53508181,-0.122241802,-0.177615233,-0.435047153,-0.53508181,0.103196913,0.175233705,0.429486836,0.433062911,0.522826049,0.514608978,0.646861129,0.466879281,0.721320694,-0.104600462,0.301954682,0.544776826,0.351322009,0.511588519,1,0.661652573,0.5367409,0.866023943,-0.452294878,-0.416146656,0.498724272,0.352712592,0.40393248,-0.036349093,0.07818013,-0.003717675,-0.026015697,-0.002145081
Prop.Male.Poverty.18.24,0.281601568,0.023646463,-0.03588909,-0.052604484,0.416533733,0.39532563,0.005554504,0.301001787,0.336684261,0.387816075,0.085709924,-0.027050945,0.338968214,0.237959276,-0.378868708,-0.358145155,-0.079979506,-0.056860686,0.050770774,-0.025744019,-0.071644146,0.121156652,0.07767406,-0.126946701,0.179381494,0.345188392,0.084242502,0.13504225,0.311812985,0.171076443,0.218279997,0.108894683,0.124729309,0.220933474,0.305320633,0.267138655,0.023345225,-0.000565013,0.117064435,0.103574542,0.249831259,-0.133787945,0.113056833,-0.127212136,-0.249831259,-0.070728707,-0.005689203,0.125474568,0.165671882,0.212301368,0.332393786,0.952494005,0.124848146,0.543953622,-0.116451045,-0.008022474,0.087806709,0.029797285,0.177045498,0.661652573,1,0.159622402,0.592087446,-0.261397724,-0.043166445,0.244501829,0.028993657,0.218299023,-0.06360834,0.116552224,-0.00325642,0.007795564,-0.033114741
Prop.Male.Poverty.Under.17,0.472174347,0.560280321,-0.074633061,-0.093798728,0.406367986,0.391213755,0.038074853,0.117684997,-0.131224014,-0.119286522,0.170639382,-0.039103613,0.435783093,0.30266724,-0.362718876,-0.256070645,-0.201069996,-0.003289258,0.313525278,0.252540081,0.030869661,-0.008660857,0.095183662,-0.199542749,0.426410609,0.237243276,-0.199857806,0.439623006,0.408135577,0.510451945,0.359822376,0.284528734,0.512261055,0.465800139,0.644773889,0.684126052,0.193162895,0.264523352,0.388090267,0.410537706,0.687006488,-0.208853721,-0.349843986,-0.507206585,-0.687006488,0.083753438,0.331090861,0.543747377,0.555334619,0.746393875,0.652728289,0.188973771,0.751494947,0.73845592,-0.153329934,0.229256014,0.322910469,0.122038583,0.365303123,0.5367409,0.159622402,1,0.647078368,-0.359612123,-0.696333087,0.717763589,0.400616711,0.326021819,-0.057135715,0.091200462,-0.00814114,0.007738854,-0.032100854
Prop.Male.Poverty,0.384690228,0.411012576,-0.207683095,-0.212577654,0.317773234,0.26683152,0.011706537,0.119545434,-0.033690239,0.00102292,0.037106526,-0.044385668,0.350497939,0.29250902,-0.302106559,-0.279683206,-0.049437802,-0.054288501,0.177414881,0.268614573,-0.058297543,-0.10543535,0.080886567,-0.128470219,0.317507521,0.28945961,-0.095294154,0.298157938,0.356044238,0.385369411,0.25072795,0.13261422,0.484598888,0.456695945,0.56320809,0.61548893,0.162322413,0.243881288,0.457174343,0.445774027,0.642910312,-0.107027134,-0.24648724,-0.562149773,-0.642910312,0.131759452,0.208834892,0.544290132,0.583217708,0.594277113,0.606123374,0.564966852,0.525004721,0.774466706,0.048996626,0.519816401,0.698757162,0.613885876,0.722507441,0.866023943,0.592087446,0.647078368,1,-0.556295562,-0.520585721,0.576584207,0.474417262,0.442428566,-0.076456548,0.128613396,0.023647442,-0.038124543,0.035781676
Prop.3.Earner,-0.164946799,-0.365613831,0.632188759,0.574483901,7.28E-05,0.040356956,0.218322308,0.015756701,0.384103086,0.339170951,0.304400212,-0.066583008,-0.025908326,-0.230321962,0.005340692,0.024647222,-0.212869971,0.1058155,-0.052973089,-0.505728811,0.037271448,0.304916397,-0.066096494,0.000904784,-0.225444358,-0.046892741,0.36393587,-0.080579525,-0.108596029,-0.287787637,0.033499473,0.01103204,-0.188910719,-0.302645122,-0.358333912,-0.334025072,-0.048358323,-0.104976873,-0.139357168,-0.135231545,-0.314243898,-0.341332477,0.316162821,0.664308685,0.314243898,-0.338955193,-0.368815593,-0.536622808,-0.481882212,-0.374315559,-0.46736421,-0.305230669,-0.364376159,-0.573417723,-0.218563401,-0.367423025,-0.391729532,-0.423082019,-0.374154719,-0.452294878,-0.261397724,-0.359612123,-0.556295562,1,0.372305062,-0.504371225,-0.698690325,-0.584984297,0.090504611,-0.073089776,-0.212851815,0.121472762,-0.107439151
Prop.2.Earner,-0.236901315,-0.824491311,0.173273501,0.19950694,-0.201276691,-0.124624363,-0.084497734,-0.155145209,0.279488181,0.268912179,-0.198069108,0.083624212,-0.252134531,-0.180778694,0.151982193,0.099885744,0.108320865,0.019493339,-0.191239764,-0.3460728,-0.044312908,0.074809819,-0.046935826,0.116472836,-0.220619424,-0.084968951,0.361276587,-0.3125136,-0.176412847,-0.324373412,-0.111131542,-0.087174701,-0.481566046,-0.319775311,-0.42905355,-0.52307239,-0.257888873,-0.237959184,-0.360413227,-0.426806195,-0.561960186,-0.091146207,0.589160374,0.674139014,0.561960186,-0.230700908,-0.494026033,-0.64614591,-0.692362582,-0.685519399,-0.56803714,-0.078236623,-0.705939499,-0.711402637,-0.16221144,-0.37834673,-0.418447913,-0.179973643,-0.30775598,-0.416146656,-0.043166445,-0.696333087,-0.520585721,0.372305062,1,-0.746538092,-0.711544436,-0.467005972,0.141708718,-0.129393706,-0.060719013,0.116262014,-0.095823495
Prop.1.Earner,0.364213038,0.501970997,-0.113465999,-0.107357085,0.376360623,0.31783761,-0.078147863,0.259911481,-0.105682643,-0.073669931,0.12550317,0.003314079,0.362065578,0.327861623,-0.339130945,-0.255073752,-0.089982605,-0.037921969,0.153067185,0.229415941,0.019098122,-0.012730742,0.10904225,-0.081834151,0.401917741,0.184877395,-0.272562395,0.310776936,0.305035772,0.389398169,0.267020352,0.165839429,0.526938024,0.53555624,0.721349462,0.743119216,0.309413428,0.25150411,0.329382888,0.432836366,0.741991087,-0.202090248,-0.285901866,-0.571035056,-0.741991087,0.233307368,0.28044862,0.524785352,0.531579305,0.625846312,0.651470415,0.300432415,0.662936797,0.735244545,-0.084064019,0.182368254,0.259940873,0.172263278,0.373371114,0.498724272,0.244501829,0.717763589,0.576584207,-0.504371225,-0.746538092,1,0.320461193,0.375120365,-0.110430657,0.100502294,-0.003743019,-0.156577569,0.117441801
Prop.No.Earners,0.065512553,0.724948418,-0.546621742,-0.538336468,-0.102697279,-0.164589695,-0.000555626,-0.0649048,-0.488273063,-0.471594074,-0.113245659,-0.044639331,-0.017136778,0.082748818,0.120227468,0.09104091,0.113533435,-0.065653688,0.114106573,0.544743233,0.004342698,-0.291102526,0.005991435,-0.056422135,0.060014503,-0.031392237,-0.421489761,0.130718447,0.009781746,0.227328583,-0.13131592,-0.05496286,0.207732628,0.109301663,0.10962733,0.174481416,0.049809725,0.118617824,0.209081049,0.189695573,0.202829048,0.517105454,-0.620006671,-0.722474755,-0.202829048,0.29620467,0.560713618,0.638865672,0.642974932,0.477592347,0.397302887,0.051087803,0.460863575,0.557287564,0.404205075,0.518609837,0.513579446,0.354578934,0.285803641,0.352712592,0.028993657,0.400616711,0.474417262,-0.698690325,-0.711544436,0.320461193,1,0.608476749,-0.124317383,0.106858036,0.222988432,-0.08037242,0.081401369
X2018.Normalized.Per.Capital.Income.Dollars,0.027351806,0.45490082,-0.454618715,-0.377730404,-0.071944988,-0.087418395,-0.010572233,0.007741294,-0.572612031,-0.523080662,-0.169629979,0.081654494,-0.072154709,0.205290043,0.12656998,0.053330133,0.313537583,-0.068609576,0.051857286,0.394879413,-0.148422624,-0.200039717,0.048525695,0.070917627,0.075126629,0.059705318,-0.300677859,-0.004670471,-0.019425182,0.162946539,-0.193532145,-0.195132867,0.131718499,0.296272682,0.218401472,0.211578844,0.081267578,0.212754029,0.270722283,0.255353208,0.254181692,0.286699077,-0.418933879,-0.54783341,-0.254181692,0.24555639,0.357572578,0.442545753,0.425487396,0.405302984,0.435425845,0.278072958,0.393039221,0.544922158,0.224927613,0.182746418,0.337092684,0.220210339,0.317521697,0.40393248,0.218299023,0.326021819,0.442428566,-0.584984297,-0.467005972,0.375120365,0.608476749,1,-0.131042794,0.156180332,0.41053421,-0.054770581,0.05139799
X2018.percent.change,-0.06903864,-0.23503855,-0.135256652,-0.120390847,-0.250848062,-0.190295751,0.176864409,-0.090243373,-0.047967299,-0.038782198,-0.305202776,-0.081271945,-0.051973395,-0.009494592,0.048450782,0.056144863,0.043557909,0.04905378,0.030648656,0.0616537,-0.223616535,0.017178815,-0.062772752,0.033617839,0.02162603,-0.027499368,0.048781008,-0.033799721,-0.083961207,-0.092985221,0.023224495,0.009016007,-0.072702203,-0.188463772,-0.061002769,-0.076411354,-0.138542955,0.035891164,0.012499606,-0.070769262,-0.084827967,-0.010758457,0.138411271,0.098792597,0.084827967,0.025274294,-0.124014039,-0.147336495,-0.126224561,-0.030183407,-0.106603575,-0.143272691,-0.012973941,-0.12835058,-0.046581225,-0.085915839,-0.007896899,-0.046091145,-0.031738707,-0.036349093,-0.06360834,-0.057135715,-0.076456548,0.090504611,0.141708718,-0.110430657,-0.124317383,-0.131042794,1,-0.940409785,-0.002040463,0.774500145,-0.720563641
X2018.rank.percent..change,0.059753544,0.250758248,0.157971185,0.143636267,0.261669033,0.205799845,-0.104444436,0.075823238,0.053445803,0.044150951,0.278503385,0.05503256,0.063109699,0.022849965,-0.059962337,-0.068940943,-0.041296854,-0.073941847,-0.050143764,-0.143881091,0.231403915,-0.010152788,0.100176465,0.000465797,-0.060217718,0.010449758,0.027451248,0.038613148,0.080982653,0.089541112,-0.038030844,-0.005815965,0.063144766,0.210430917,0.077574021,0.083038337,0.087849701,0.025073066,0.04226222,0.083472375,0.094317978,-0.027568094,-0.113822648,-0.070727107,-0.094317978,-0.076747118,0.15736842,0.132153663,0.117445719,0.006057308,0.107654026,0.193055878,-0.003513587,0.135290001,0.07982266,0.116268557,0.025530816,0.054314329,0.059110584,0.07818013,0.116552224,0.091200462,0.128613396,-0.073089776,-0.129393706,0.100502294,0.106858036,0.156180332,-0.940409785,1,0.01377939,-0.705507577,0.724235194
Normalize.2018.GDP,-0.205480627,0.134278933,-0.476546168,-0.455541334,-0.15541087,-0.156552642,-0.030354566,-0.109647292,-0.543675254,-0.507813212,-0.303778883,-0.14607281,-0.386112019,-0.25044535,0.444682821,0.420063873,0.107474605,0.008938032,-0.008629748,0.206172402,0.065919987,-0.272404313,-0.002164549,0.123025901,-0.12708537,-0.035311725,-0.162669649,-0.361633769,-0.220702424,-0.022424225,-0.600297761,-0.293606814,-0.336618841,0.070393929,-0.07057555,-0.21014618,-0.222364277,0.096940335,0.074800309,-0.0714891,-0.193286043,0.344556447,-0.17042768,-0.140114926,0.193286043,0.069136374,0.010653361,0.032624381,0.028881526,-0.007177868,0.013647684,0.016929035,0.014358302,0.02723562,0.056692807,0.019957401,0.048683914,0.050703468,0.028037825,-0.003717675,-0.00325642,-0.00814114,0.023647442,-0.212851815,-0.060719013,-0.003743019,0.222988432,0.41053421,-0.002040463,0.01377939,1,0.017269677,-0.000473619
Percent.Change...2018,-0.001121888,-0.162245156,-0.053509205,-0.050315269,-0.070043077,-0.004073785,0.215784386,-0.006537706,-0.036132238,-0.01340513,-0.129205222,-0.051881828,0.013547473,0.006708411,-0.006916558,0.009951768,-0.011702685,0.03436204,0.124341581,0.031530991,-0.222176827,0.130431035,-0.078450254,-0.0330778,0.057984991,0.03708426,0.019912286,0.066416527,-0.033004964,0.008135292,0.044735148,-0.033920292,0.018770438,-0.174663635,-0.039893676,-0.017997201,-0.109479794,0.03509734,0.014606453,-0.052286605,-0.031551724,-0.073034244,0.100348843,0.105058379,0.031551724,0.035589625,-0.012482138,-0.123539535,-0.125184927,0.065205263,-0.093335476,-0.048089856,-0.028008261,-0.066466176,-0.105220415,-0.093604077,0.032456624,-0.107225636,-0.052018857,-0.026015697,0.007795564,0.007738854,-0.038124543,0.121472762,0.116262014,-0.156577569,-0.08037242,-0.054770581,0.774500145,-0.705507577,0.017269677,1,-0.929728054
Rank.in.State.for.Percent.Change...2018,-0.077866326,0.180914168,0.0688522,0.073320884,0.017524705,-0.02974831,-0.163210178,-0.051786006,0.011208415,-0.011617295,0.147158881,0.069212728,-0.057629171,-0.027646759,0.050892782,0.019510972,0.0434514,-0.067512447,-0.147199008,-0.10420737,0.219141777,-0.103623008,0.133392182,0.011049115,-0.119354812,-0.070858944,0.085290435,-0.121004232,-0.039086146,-0.099298604,-0.103105964,0.029306388,-0.045717203,0.155679919,-0.02098939,-0.03627249,0.01626289,0.049353714,0.058837841,0.054685581,-0.011586327,0.097874819,-0.106107967,-0.08481425,0.011586327,-0.105215261,0.040011846,0.095992998,0.103788196,-0.116415825,0.041774717,0.027068228,-0.04892841,0.005451573,0.124346153,0.129421689,-0.000325643,0.146571478,0.070498153,-0.002145081,-0.033114741,-0.032100854,0.035781676,-0.107439151,-0.095823495,0.117441801,0.081401369,0.05139799,-0.720563641,0.724235194,-0.000473619,-0.929728054,1
