Prop Female household no Children,Female Household with Children under 6,Prop Female Household with Children under 18,Prop Female Household,Prop Male Household No Children,Prop Male Household with children under 6,Prop Male Household with children under 18,Prop Male Household,Prop Other Family Type (Not Married),Prop Married no children under 18,Prop Married with children under 6,Prop Married with Children under 18,Prop Married-Couple Family,Prop Female Poverty 75+,Prop Female Poverty 65-74,Prop Female Poverty 55-64,Prop Female Poverty 45-54,Prop Female Poverty 35-44,Prop Female Poverty 25-34,Prop Female Poverty 18-24,Prop Female 17 and Under,Prop Female Poverty,Prop Male Poveryy 75+,Prop Male Poverty 65-74,Prop Male Poverty 55-64,Prop Male Poverty 45-54,Prop Male Poverty 35-44,Prop Male Poverty 25-34,Prop Male Poverty 18-24,Prop Male Poverty Under 17,Prop Male Poverty,Prop 3 Earner,Prop 2 Earner,Prop 1 Earner,Prop No Earners,County
4.756814538,4.382683057,9.139497595,13.896312133,2.244788883,0.427578835,1.068947087,3.313735970,17.210048103,54.783538215,4.917156601,28.006413683,82.789951897,0.530090427,0.685999376,0.545681322,0.296227003,0.608044902,0.857499220,0.873090115,1.465544122,5.862176489,0.280636109,0.124727159,0.701590271,0.654817587,0.389772373,0.561272217,0.280636109,1.418771437,4.412223262,9.941207910,44.788882950,32.549438803,12.720470337,EDWARDS
5.760905761,1.720501721,6.771006771,12.531912532,2.297702298,1.409701410,5.328005328,7.625707626,20.157620158,50.138750139,7.170607171,29.703629704,79.842379842,0.414245269,0.327819997,0.771867084,0.479809268,0.613917449,1.451348532,0.384443451,1.892415437,6.335866488,0.131127999,0.199672180,0.321859633,0.962598719,0.479809268,0.441066905,0.473848905,2.279839070,5.289822679,14.563214563,42.601842602,29.692529693,13.142413142,EFFINGHAM
5.946048632,2.051671733,7.294832827,13.240881459,3.913373860,0.474924012,4.578267477,8.491641337,21.732522796,54.255319149,4.274316109,24.012158055,78.267477204,0.543122957,0.523007292,0.769424189,0.799597687,1.287402565,1.267286900,0.744279608,2.997234096,8.931355293,0.181040986,0.336937390,1.528790546,0.658788031,0.819713352,1.181795323,1.151621825,3.067638924,8.926326377,9.878419453,36.341185410,31.952887538,21.827507599,FAYETTE
4.852495175,2.812241522,13.096222774,17.948717949,3.032809484,0.799558864,2.426247588,5.459057072,23.407775021,48.552522746,7.775020678,28.039702233,76.592224979,0.369458128,0.269396552,0.646551724,0.792795567,1.662561576,0.746613300,0.939039409,3.517549261,8.943965517,0.138546798,0.377155172,0.461822660,0.600369458,1.100677340,0.538793103,0.523399015,3.078817734,6.819581281,12.682657844,42.707471740,32.065067549,12.544802867,FORD
8.998200360,3.209358128,11.607678464,20.605878824,3.169366127,1.799640072,4.189162168,7.358528294,27.964407119,49.610077984,4.079184163,22.425514897,72.035592881,0.719987478,0.563468461,1.134762874,1.312151093,1.588668023,1.492147963,1.179109929,2.634736787,10.625032608,0.357385089,0.286951531,1.273021339,1.338237596,0.712161528,0.918244900,0.941722753,3.156466844,8.984191579,7.378524295,33.723255349,34.763047391,24.135172965,FRANKLIN
5.380915091,2.282134467,11.477793937,16.858709028,3.613379573,1.577357646,5.772457769,9.385837342,26.244546370,51.437520976,4.004922251,22.317932655,73.755453630,0.475464797,0.493751905,0.548613228,1.222188357,1.508686376,1.328863151,1.283145383,2.325510515,9.186223712,0.152392563,0.344407193,0.646144468,1.078939348,0.923498933,0.765010667,0.819871990,2.584577873,7.314843036,7.036581273,37.621657904,34.254390871,21.087369952,FULTON
7.794676806,4.942965779,15.209125475,23.003802281,5.386565272,0.253485425,1.837769328,7.224334601,30.228136882,45.627376426,7.351077313,24.144486692,69.771863118,0.895464279,0.253065992,1.109597041,0.817597820,0.953864123,2.647459607,0.914930894,3.503990656,11.095970411,0.097333074,0.642398287,0.837064434,1.674128869,1.323729803,0.622931672,0.116799689,3.153591590,8.467977419,3.675538657,37.452471483,40.937896071,17.934093790,GALLATIN
6.682721252,0.541842264,7.645996388,14.328717640,3.792895846,1.384708007,4.966887417,8.759783263,23.088500903,51.986754967,5.809753161,24.924744130,76.911499097,0.889860276,0.288814300,0.991335571,0.733744438,1.241120912,1.225509328,0.710327063,1.951447974,8.032159863,0.359066427,0.085863711,0.905471860,1.303567247,0.757161814,0.304425884,0.874248693,1.803137928,6.392943564,9.000602047,39.343768814,33.925346177,17.730282962,GREENE
7.167995403,1.616031028,6.672412555,13.840407958,1.716584070,2.334267040,4.007756949,5.724341018,19.564748977,46.319040437,6.744236156,34.116210587,80.435251023,0.444506738,0.206235108,0.386440542,0.572652824,0.710810324,0.616703041,0.656748694,1.503714234,5.097811505,0.300342390,0.324369782,0.224255651,0.562641411,0.360410868,0.480547825,0.282321847,1.155317061,3.690206836,14.328808446,42.354377648,30.237736120,13.079077785,GRUNDY
7.838179520,0.421407501,5.309734513,13.147914033,1.685630004,2.317741256,4.003371260,5.689001264,18.836915297,53.223767383,4.719764012,27.939317320,81.163084703,0.959291600,0.946992990,0.553437462,0.467347190,0.750215226,0.209076374,0.701020785,1.254458246,5.841839872,0.651826344,0.418152749,0.221374985,0.319763867,0.368958308,0.036895831,0.504243021,1.119173533,3.640388636,9.355246523,45.174884113,28.529287821,16.940581542,HAMILTON
