Prop of Paraphernalia Drug Arrests per 100K,Prop Cannabis Arrests Per 100K,Prop Needle/Syringe Arrests per 100K,Prop Controlled Substance Arrests per 100K,Prop of Meth Arrests Per 100K,MVT Per 100K,Theft per 100K,Burglary per 100K,Robbery Per 100K,Homocides Per 100k,County,Year,HTIS per 100K,Arson per 100K,Population,HTS Per 100K,Battery/Assault Per 100K,Sexual Assault Per 100k,Total Index Crime Rates per 100K
48.527984471,21.567993098,0,0,10.783996549,37.743987922,150.975951688,97.055968942,0,0,HANCOCK,2015,0,0,18546,0,21.567993098,16.175994824,323.5
0,0,0,24.218939210,48.437878421,72.656817631,508.597723420,145.313635263,0,0,HARDIN,2015,0,0,4129,0,145.313635263,24.218939210,896.1
0,0,0,0,0,0,0,0,0,0,HENDERSON,2015,0,0,6916,0,0,0,0
259.897249924,267.956079379,6.044122091,78.573587186,32.235317820,24.176488365,1216.883247708,177.294248010,2.014707364,0,HENRY,2015,0,0,49635,0,76.558879823,46.338269366,1543.3
152.359846255,152.359846255,10.388171336,110.807160913,31.164514007,41.552685342,931.472696423,353.197825409,13.850895114,0,IROQUOIS,2015,0,3.462723779,28879,0,103.881713356,20.776342671,1468.2
423.948925047,541.247046601,6.702749803,154.163245471,15.081187057,75.405935285,2022.554753087,614.977294435,70.378872933,1.675687451,JACKSON,2015,0,11.729812155,59677,0,149.136183119,68.703185482,3014.6
41.567078874,31.175309155,0,20.783539437,0,0,155.876545776,31.175309155,0,0,JASPER,2015,0,0,9623,0,20.783539437,0,207.8
399.647064930,412.622618986,25.951108112,233.559973011,384.076400062,64.877770281,2226.605076037,682.514143354,83.043545959,5.190221622,JEFFERSON,2015,0,57.092437847,38534,0,500.856386568,57.092437847,3677.3
531.655664348,350.006645696,141.774843826,314.562934739,44.304638696,26.582783217,1280.404058305,367.728501174,0,0,JERSEY,2015,0,8.860927739,22571,0,53.165566435,101.900669000,1838.6
265.120877146,211.197986879,0,31.455019322,31.455019322,40.442167700,867.259818460,287.588748090,8.987148378,0,JO DAVIESS,2015,0,8.987148378,22254,44.935741889,67.403612834,26.961445133,1352.6
126.974049679,95.230537259,15.871756210,55.551146734,71.422902944,31.743512420,357.114514721,119.038171574,0,7.935878105,JOHNSON,2015,0,0,12601,0,269.819855567,7.935878105,793.6
141.094544724,257.156186351,1.896432053,72.064418004,1.137859232,45.324726060,1000.557551024,190.591421300,42.669721187,2.465361669,KANE,2015,0,6.827155390,527306,0,121.750937786,22.567541428,1432.8
121.212121212,168.799102132,8.978675645,131.088664422,0.897867565,70.033670034,1656.565656566,440.852974186,73.625140292,4.489337823,KANKAKEE,2015,0,33.221099888,111375,0,166.105499439,35.016835017,2479.9
181.293778327,215.080346106,3.296250515,22.249690977,0.824062629,24.721878863,848.784507623,135.970333745,15.657189946,0,KENDALL,2015,0,3.296250515,121350,0,34.610630408,29.666254635,1092.7
90.448284309,216.699014491,0,141.325444233,56.530177693,69.720552488,1501.818387382,433.398028981,33.918106616,1.884339256,KNOX,2015,0,7.537357026,53069,0,282.650888466,50.877159924,2381.8
222.939383860,274.179484183,5.393694771,114.166539316,7.191593028,24.271626469,1448.207045963,299.350059780,14.383186056,1.797898257,LASALLE,2015,0,9.888440413,111241,0,92.591760232,37.755863396,1928.2
224.196169521,292.972350557,8.933813207,90.330777979,2.552518059,52.184813652,1151.611064315,240.362117229,38.145964327,1.985291824,LAKE,2015,0,14.606075560,705186,0,84.800322185,21.980016620,1605.7
272.413584357,260.306313942,66.589987287,151.340880199,199.769961862,96.858163327,254.252678734,242.145408318,0,0,LAWRENCE,2015,0,0,16519,0,102.911798535,6.053635208,702.2
126.673384195,328.199222686,2.878940550,210.162660141,0,51.820929898,811.861235065,270.620411688,17.273643299,0,LEE,2015,5.757881100,8.636821650,34735,5.757881100,83.489275946,60.457751547,1315.7
208.426773606,269.107986175,18.468195130,184.681951297,0,18.468195130,841.622035195,211.065087196,18.468195130,2.638313590,LIVINGSTON,2015,0,2.638313590,37903,0,124.000738728,50.127958209,1269
305.923485511,299.199892423,23.532575809,158.004437571,0,63.874134337,1106.031063000,279.029113158,33.617965441,0,LOGAN,2015,0,10.085389632,29746,0,161.366234116,13.447186176,1667.5
385.786802030,578.680203046,0.922934933,200.276880480,62.759575450,60.913705584,1838.486386710,665.436086756,115.366866636,5.537609599,MACON,2015,0,28.610982926,108350,0,237.194277803,32.302722658,2983.8
307.838029837,279.852754397,15.068994468,111.941101759,55.970550879,32.290702430,912.750522033,243.256624976,8.610853981,4.305426991,MACOUPIN,2015,0,6.458140486,46453,0,139.926377198,21.527134954,1369.1
225.465186074,205.582232893,27.761104442,183.073229292,22.884153661,70.153061224,1362.169867947,310.999399760,25.510204082,0.750300120,MADISON,2015,0,13.505402161,266560,0,117.046818727,37.890156062,1938
191.853983563,176.298255166,31.111456794,215.187576158,178.890876565,103.704855980,1560.758082497,513.339037100,25.926213995,10.370485598,MARION,2015,0,15.555728397,38571,0,212.594954759,85.556506183,2527.8
266.355918096,233.061428334,16.647244881,58.265357083,0,16.647244881,349.592142500,166.472448810,0,8.323622440,MARSHALL,2015,0,0,12014,0,83.236224405,41.618112202,665.9
79.148078860,143.905597928,14.390559793,122.319758239,57.562239171,35.976399482,870.628867463,295.006475752,14.390559793,0,MASON,2015,0,14.390559793,13898,0,158.296157721,64.757519067,1453.4
275.075478028,254.948004025,46.964106005,214.693056021,114.055686011,100.637370010,1845.018450185,503.186850050,20.127474002,0,MASSAC,2015,0,6.709158001,14905,0,248.238846025,40.254948004,2764.2
