CASEID,RESPONSE,RESIDUAL,_DEATHS_PER_100K,BEACHES_PER_COUNTY,_POP_PER_SQUARE_MILE,___GDP_OF_STATE_GDP,_POP_PERCENT_MALE,_POP_TOT_WHITE,_POP_TOT_BLACK,_POP_TOT_AMERICAN_INDIAN,_POP_TOT_ASAIN,_POP_TOT_NATIVE_HAWAIIN_PI,_POP_TOT_MIXED_RACE,_POP_TOT_HISPANIC,_POP___STATE_TOTAL,_POP___BTWN_0_29,_POP___BTWN_30_59,_POP___BTWN_60_PLUS,DEATHS,_POSITIVES_PER_1OOK,COUNTY,TPOSITIVE
47,17.0573,-17.0573,0,0,54.0143,0.124519,53.6606,86.7925,9.04976,1.55765,1.02318,0.142042,1.43487,25.4544,0.195016,36.0113,50.3479,26.1093,0,441,"OKEECHOBEE",183
48,1.28958,1.71042,3,0,1528.95,9.48711,49.06,68.111,22.7012,0.567271,5.70444,0.200776,2.71533,32.3301,6.48211,41.5235,57.9347,17.078,46,227,"ORANGE",3130
49,30.7773,-24.7773,6,0,277.101,0.905543,49.3119,79.3769,13.8534,0.814968,2.89872,0.257072,2.79899,55.2855,1.72771,41.0275,54.7656,18.2081,21,228,"OSCEOLA",838
50,12.362,16.638,29,18,753.52,7.81432,48.5054,74.8409,19.7021,0.586497,2.93087,0.109224,1.83036,22.9195,6.97647,32.7039,48.4595,30.3042,426,594,"PALM BEACH",8833
51,22.3833,-19.3833,3,0,722.396,1.21516,48.627,87.9306,6.4661,0.477735,2.70241,0.104145,2.319,15.7908,2.53355,32.8408,48.4869,29.1498,15,97,"PASCO",521
52,38.3026,-28.3026,10,16,3559.42,5.07048,47.9686,82.6126,11.0525,0.387478,3.59179,0.116684,2.23895,10.0066,4.57892,29.0854,49.414,32.6977,102,229,"PINELLAS",2235
53,24.7952,-13.7952,11,0,393.776,2.43105,49.0006,78.9165,16.1232,0.667364,1.94023,0.110168,2.24249,23.6196,3.32409,37.3329,49.1624,26.3053,75,207,"POLK",1466
54,17.0289,-9.02887,8,0,102.012,0.21731,49.4842,80.3608,16.3774,0.718687,0.6661,0.136187,1.74076,10.218,0.348194,34.497,45.822,30.7782,6,256,"PUTNAM",190
55,14.6489,-9.64889,5,5,423.063,0.795583,50.9643,87.0465,6.46115,0.877618,2.15223,0.170059,3.29246,5.70117,0.842041,36.5929,53.5743,22.3642,9,162,"SANTA ROSA",291
56,21.6075,-0.607458,21,9,561.413,0.898669,47.6525,91.527,4.77622,0.31918,1.78197,0.0618676,1.5338,9.33825,2.00343,24.2097,39.2386,44.9165,91,180,"SARASOTA",767
57,7.89861,-4.89861,3,0,177.398,0.414804,48.3101,78.9382,12.923,0.437978,4.8729,0.121411,2.70653,21.9812,2.19646,36.7251,55.189,21.6368,13,162,"SEMINOLE",759
58,0.395609,1.60439,2,7,767.478,1.92622,48.7755,88.7816,5.5384,0.315817,3.18964,0.0857387,2.0888,7.20283,1.19375,33.195,48.6771,27.246,6,121,"ST. JOHNS",307
59,18.4299,-7.42989,11,3,1514.02,2.13872,48.8824,74.0561,20.9916,0.562081,1.98145,0.107434,2.30126,19.5489,1.50769,32.8897,47.1099,31.1424,36,275,"ST. LUCIE",883
60,15.004,-2.00401,13,0,235.382,0.268676,49.8579,90.1191,7.46074,0.403094,0.953757,0.0683474,0.994921,5.74972,0.604498,12.9402,25.8547,66.4142,17,207,"SUMTER",266
61,13.2751,27.7249,41,0,64.1379,0.117871,51.4652,84.1303,12.7831,0.746758,0.68566,0.0859904,1.56819,9.63092,0.207476,35.161,48.1433,28.576,18,444,"SUWANNEE",196
62,5.45087,-5.45087,0,0,20.7315,0.0926057,54.5623,76.377,19.6226,0.975813,0.846321,0.0554965,2.12274,4.50446,0.10152,35.2726,50.8718,27.3043,0,250,"TAYLOR",54
63,2.80481,4.19519,7,0,61.2295,0.0323522,64.411,74.2838,22.6506,0.528782,0.742972,0.0401606,1.75368,5.7095,0.0701431,36.0509,56.8005,21.4726,1,254,"UNION",38
64,19.8149,-10.8149,9,10,496.858,1.77828,48.8034,83.8992,11.3857,0.473392,2.0068,0.0781681,2.15675,14.5281,2.57068,31.9938,47.844,32.0957,47,169,"VOLUSIA",928
65,5.44669,-2.44669,3,1,53.566,0.065542,53.3779,83.1644,13.1019,0.739349,0.739349,0.0924186,2.1626,3.7676,0.152404,35.0821,54.0988,22.4084,1,108,"WAKULLA",35
66,11.0352,1.9648,13,6,68.762,0.27152,50.5499,89.7135,5.24413,0.805604,1.38424,0.161121,2.69142,6.38039,0.335105,32.0434,49.8634,28.3082,9,207,"WALTON",148
67,26.7412,9.25881,36,0,42.6758,0.0531645,53.6576,80.4421,14.8593,1.36254,0.594855,0.34164,2.39952,3.70177,0.116811,35.7797,54.172,23.9188,9,370,"WASHINGTON",92
