_POSITIVES_PER_1OOK,_DEATHS_PER_100k,COUNTY,_Percent C_Female,_Percent C_Male,_Percent C_SexUnkn,_Percent  C_Age_0_4,_Percent   C_Age_5_14,_Percent  C_Age_15_24,_Percent  C_Age_25_34,_Percent  C_Age_35_44,_Percent C_Age_45_54,_Percent   C_Age_55_64,_Percent   C_Age_65_74,_Percent   C_Age_75_84,_Percent   C_Age_85plus,_Percent   C_Age_Unkn,C_AgeMedian,_Percent   C_RaceWhite,_Percent   C_RaceBlack,_Percent   C_RaceOther,_Percent   C_RaceUnknown,_Percent   C_HispanicYES,_Percent   C_HispanicNO,_Percent   C_HispanicUnk,_Percent   C_EDYes_Res,_Percent   C_EDYes_NonRes,_Percent   C_HospYes_Res,_Percent   C_HospYes_NonRes,Percent  C_Men,Percent  C_Women,Percent  C_FLRes,Percent  C_NotFLRes,Percent  C_FLResOut,_PUI_Percent_Age_0_4,_PUI_Percent_Age_5_14,_PUI_Percent_Age_15_24,_PUI_Percent_Age_25_34,_PUI_Percent_Age_35_44,_PUI_Percent_Age_45_54,_PUI_Percent_Age_55_64,_PUI_Percent_Age_65_74,_PUI_Percent_Age_75_84,_PUI_Percent_Age_85plus,_PUI_Percent_Age_Unkn,PUIAgeMedian,_PUIFemale_Percent,_PUIMale_Percent,PUIAgeAvrg,TPositive,Deaths,_POP_PERCENT_MALE,_POP_TOT_FEMALE,_POP_TOT_WHITE,_POP_TOT_BLACK,_POP_TOT_AMERICAN_INDIAN,_POP_TOT_ASAIN,_POP_TOT_NATIVE_HAWAIIN_PI,_POP_TOT_MIXED_RACE,_POP_TOT_HISPANIC
719,0,HARDEE,46.9,53.1, -,2.6,6.3,15.1,24.5,14.1,11.5,9.9,10.9,4.7,2.6, -,37,64.1,25.5,8.3,2.1,59.9,37.5,2.6,18.2,1.5,11.5,1.5,53.6,46.4,98,2, -,2.572347267,5.144694534,12.754555198,18.220793140,12.433011790,12.861736334,14.362272240,12.861736334,6.645230439,2.786709539,0,44,56.941431670,43.058568330,2,196,0,52.765645072,47.234354928,88.438245550,7.469260415,1.174527436,1.130482657,0.110111947,1.677371995,43.975041292
86,2,MARION,56.5,43.5, -,2,2.3,6.9,14.4,18.6,17,19.6,12.1,6.5,2.3, -,49,70.3,20.9,6.2,2.6,19,78.4,2.6,19.6,1,14.1, -,43.1,56.9,98.4,1.6, -,1.121157324,1.367088608,6.126582278,11.197106691,11.688969259,14.698010850,17.649186257,18.828209765,12.318264014,5.019891501,0.180831826,57,61.611477429,38.388522571,177,311,8,47.959175170,52.040824830,82.139136667,13.473083003,0.520588815,1.800392803,0.087505591,1.979293122,13.637815749
169,9,VOLUSIA,50.2,49.8, -,0.4,2.5,9.7,13.8,12,15.4,17.9,15.8,7.5,6.3, -,53,55.5,23.2,15.9,5.5,13.1,78,8.9,26.3,0.5,18.8,0.4,49.7,50.3,98.5,1.5, -,0.845518751,1.477170994,5.177558938,10.066646772,10.797771809,14.433502437,20.894260420,19.566298617,10.698299015,5.102954342,1.417487317,58,58.014679464,41.985320536,230,928,47,48.803370725,51.196629275,83.899199690,11.385693778,0.473391801,2.006801354,0.078168091,2.156745285,14.528124075
359,18,DIXIE,48.3,51.7, -, -,5,20,3.3,18.3,18.3,16.7,5,8.3,5, -,48,73.3,23.3,1.7,1.7,1.7,95,3.3,21.7, -,16.7, -,51.7,48.3,100, -, -,2.608695652,3.354037267,8.074534161,10.931677019,16.521739130,13.167701863,16.894409938,14.906832298,8.447204969,4.968944099,0.124223602,52,60.482846252,39.517153748,6,60,3,55.353293413,44.646706587,87.395209581,9.832335329,0.580838323,0.413173653,0.017964072,1.760479042,4.017964072
130,4,LAKE,45.4,54.1,0.4,0.4,2.7,10.5,17.1,15.1,17.6,14.3,13.1,10.5,2, -,48,54.1,14.5,23.2,8.2,23.8,66.1,10,29.8,2.6,17.8,1.1,54.3,45.3,96.8,3.2, -,1.387591728,1.574382922,5.170113409,9.152768512,9.793195464,12.501667779,16.424282855,18.805870580,13.315543696,4.382921948,8.392261508,59,56.420482872,43.579517128,222,464,16,48.391983057,51.608016943,83.545070758,11.329471662,0.607301645,2.261462293,0.185977363,2.070716279,16.047349893
245,2,LEVY,33,67, -,1,1,21,27,19,6,12,7,3,3, -,34,29,8,57,6,58,36,6,12, -,6, -,67,33,100, -, -,1.549463647,1.609058403,9.296781883,12.753277712,10.846245530,13.051251490,19.427890346,15.673420739,11.084624553,4.707985697,0.059594756,55,59.326113117,40.673886883,16,100,1,48.817758156,51.182241844,87.117978906,9.381898455,0.730929605,0.748099092,0.090753005,1.930340937,8.587196468
207,13,SUMTER,28.8,71.2, -, -,0.8,2.7,2.3,12.5,15.2,15.2,33.7,15.2,3.4, -,65,83.7,12.9,1.9,1.5,6.4,90.9,2.7,22, -,17, -,71.4,28.6,99.2,0.8, -,0.718849840,0.718849840,2.396166134,4.552715655,4.818956337,7.880724175,13.604898829,37.779552716,23.695420660,3.541001065,2.289669862,69,51.695616212,48.304383788,164,266,17,49.857868493,50.142131507,90.119141930,7.460739084,0.403094273,0.953756776,0.068347391,0.994920546,5.749724280
162,3,SEMINOLE,53.3,46.7, -,1.5,2,21,18.5,14.5,15.6,10.1,9.7,4.9,3.2, -,39,63.2,12.3,11.2,13.3,28.5,50.2,21.3,29,0.7,16.4,0.1,46.6,53.4,98.9,1.1, -,1.281125947,2.285576807,7.993504150,12.462408276,13.406712378,15.547936966,17.003488512,14.916396006,7.055214724,3.025381932,5.238782630,51,57.351962741,42.648037259,246,759,13,48.310077122,51.689922878,78.938165837,12.923015099,0.437977736,4.872903093,0.121411105,2.706527129,21.981181279
227,3,ORANGE,47.7,52.1,0.2,1.7,3,16.6,21.5,18.7,18.4,13.4,6.1,2.7,1.2, -,39,35.2,18.3,27.6,18.9,33.9,38.9,27.2,23.6,1.4,12.2,1.2,52.2,47.6,96.8,3.2,0,1.786586756,2.317514087,7.805934660,14.362724341,15.036969480,16.268199733,16.659066480,11.997980522,5.675710889,2.166053223,7.647959350,48,55.559131652,44.440868348,585,3130,46,49.060040778,50.939959222,68.110991602,22.701201250,0.567271094,5.704435246,0.200775724,2.715325084,32.330106581
97,8,CITRUS,49.7,50.3, -,1.4,2.8,9.8,9.1,7,12.6,23.1,15.4,11.9,7, -,58,69.9,5.6,5.6,18.9,11.2,70.6,18.2,21.7, -,23.1, -,50.3,49.7,100, -, -,0.987525988,1.689189189,4.599792100,9.199584200,8.887733888,11.642411642,18.503118503,23.466735967,16.008316008,4.963617464,0.233887734,62,58.609362168,41.390637832,119,143,12,48.478662061,51.521337939,93.004752280,3.147455874,0.432639983,1.681887933,0.038531998,1.694731932,5.948123762
