Deaths,_DEATHS_PER_100k,_POSITIVES_PER_1OOK,COUNTY,TPositive,Beaches_Per_County,_POP_PER_SQUARE_MILE,_%_GDP_of_State_GDP,_POP_PERCENT_MALE,_POP_TOT_FEMALE,_POP_TOT_WHITE,_POP_TOT_BLACK,_POP_TOT_AMERICAN_INDIAN,_POP_TOT_ASAIN,_POP_TOT_NATIVE_HAWAIIN_PI,_POP_TOT_MIXED_RACE,_POP_TOT_HISPANIC,_POP_%_State_Total,POP_%_0_4,_POP_%_5_9,_POP_%_10_14,_POP_%_15_19,_POP_%_20_24,_POP_%_25_29,_POP_%_30_34,_POP_%_35_39,_POP_%_40_44,_POP_%_45_49,_POP_%_50_54,_POP_%_55_59,_POP_%_60_64,_POP_%_65_69,_POP_%_70_74,_POP_%_75_79,_POP_%_80_84,_POP_%_80_Plus
4,28,149,LAFAYETTE,13,0,16.08103131,0.022603951,57.10032066,42.89967934,83.88685296,13.50206138,0.813101237,0.297755383,0.114521301,1.385707742,14.24644984,0.040996604,4.248740266,5.531378836,6.333027943,6.745304627,7.672927164,8.096655978,6.252863033,6.871278058,7.638570774,7.489693083,5.874942739,5.829134219,5.371049015,5.061841503,4.042601924,3.000458085,2.107191938,1.832340815
0,0,130,LAKE,464,0,380.0586354,0.895736527,48.39198306,51.60801694,83.54507076,11.32947166,0.607301645,2.261462293,0.185977363,2.070716279,16.04734989,1.673738487,4.909465771,5.245515365,5.678621019,5.162765256,4.777065597,5.612981949,5.375390959,5.444957152,5.326862929,5.941457804,6.146509769,6.715662211,6.983828665,7.212443372,7.170367046,5.518730978,3.629223411,3.148150745
16,4,376,LEE,2836,1,961.2866242,2.924395145,48.94872848,51.05127152,86.79331045,9.078994447,0.502511231,1.75865679,0.112773486,1.753753595,21.89647633,3.542882227,4.577728893,4.797312519,5.104358543,5.052543698,4.898026795,5.602629173,5.353096301,5.254237288,4.99887359,5.675647023,6.014762593,6.85678695,7.203986165,7.801778402,7.739362055,5.923589669,3.693166006,3.452114337
132,17,160,LEON,469,0,438.5337331,1.531620285,47.39865027,52.60134973,61.87102994,31.66781766,0.342219882,3.757923023,0.069059357,2.291950141,6.580125948,1.373292346,5.181161154,5.085093435,5.231075343,8.795495415,15.8009176,8.401310077,6.136710176,5.937053422,5.043384319,5.186631203,4.985948814,5.542184327,5.286801458,4.730565945,3.616043651,2.239300928,1.356571921,1.443750812
8,3,245,LEVY,100,1,36.46690519,0.119184231,48.81775816,51.18224184,87.11797891,9.381898455,0.730929605,0.748099092,0.090753005,1.930340937,8.587196468,0.191414517,5.074809909,5.450085847,5.651214128,5.158204562,4.532744665,6.058376257,5.148393427,5.067451558,4.82462595,5.849889625,6.492519009,7.991169978,7.920039245,7.804758401,6.843267108,4.954623498,2.997301938,2.180524896
1,2,2590,LIBERTY,219,0,10.11602871,0.019690929,61.66489299,38.33510701,77.01312522,19.5577628,1.19427693,0.449331914,0.047298096,1.738205037,7.177486106,0.039705484,4.682511529,4.446021048,5.190966064,5.415632021,6.361593946,9.412321154,7.591344448,7.94608017,7.638642545,7.82783493,6.633557999,6.598084427,5.723069646,4.871703914,3.772023176,2.70781601,1.974695519,1.206101454
1,12,426,MADISON,79,0,19.12177503,0.052973184,52.88466728,47.11533272,59.47433753,37.78401425,0.706999838,0.491122025,0.026984727,1.516541637,5.612823142,0.086993367,5.073128609,5.197258352,5.235036969,5.224243078,5.456311728,7.507150953,6.487128285,6.060769604,5.931242917,6.713799989,6.524906903,6.940471693,7.150952561,6.875708349,5.191861406,3.76706784,2.417831507,2.245129257
3,16,349,MANATEE,1377,5,531.4333782,1.362285931,48.28278735,51.71721265,86.15820998,9.143862937,0.506008535,2.267667878,0.093452027,1.830798648,16.73424422,1.853838091,4.669308987,4.999810057,5.374631194,5.0096871,4.73034405,5.422243608,5.155816692,5.236605843,5.05983209,5.856327006,6.325359942,7.246204303,7.518202885,7.561003406,7.267477935,5.348798926,3.516480733,3.701865242
115,29,86,MARION,311,0,227.2582071,0.998853239,47.95917517,52.04082483,82.13913667,13.473083,0.520588815,1.800392803,0.087505591,1.979293122,13.63781575,1.690086423,4.945315951,5.138383841,5.323117866,5.006708762,4.826975057,5.712587193,5.179497579,5.1036594,4.72807985,5.482016907,5.887598374,6.59069885,7.135178081,7.737438781,7.839389739,6.196229204,3.931084486,3.23604008
8,2,727,MARTIN,1170,5,296.3388582,0.751140638,49.41707269,50.58292731,90.14057373,5.747862186,0.93405091,1.475340559,0.1777369,1.524435716,13.94116039,0.75547934,4.115292831,4.344610719,4.868499553,4.780874018,4.365118823,4.746072387,4.625509595,4.623645222,4.659068311,5.729839912,6.537734911,7.749577409,7.973923635,7.58240529,7.563761559,6.381127573,4.345232177,5.007706075
