Deaths,_DEATHS_PER_100k,_POSITIVES_PER_1OOK,COUNTY,TPositive,Beaches_Per_County,_POP_PER_SQUARE_MILE,_%_GDP_of_State_GDP,_POP_PERCENT_MALE,_POP_TOT_WHITE,_POP_TOT_BLACK,_POP_TOT_AMERICAN_INDIAN,_POP_TOT_ASAIN,_POP_TOT_NATIVE_HAWAIIN_PI,_POP_TOT_MIXED_RACE,_POP_TOT_HISPANIC,_POP_%_State_Total,_POP_%_BTWN_0_29,_POP_%_BTWN_30_59,_POP_%_BTWN_60_PLUS
132,17,160,LEON,469,0,438.5337331,1.531620285,47.39865027,61.87102994,31.66781766,0.342219882,3.757923023,0.069059357,2.291950141,6.580125948,1.373292346,48.49505302,57.03413994,18.67303472
8,3,245,LEVY,100,1,36.46690519,0.119184231,48.81775816,87.11797891,9.381898455,0.730929605,0.748099092,0.090753005,1.930340937,8.587196468,0.191414517,31.92543537,45.96517047,32.70051509
1,2,2590,LIBERTY,219,0,10.11602871,0.019690929,61.66489299,77.01312522,19.5577628,1.19427693,0.449331914,0.047298096,1.738205037,7.177486106,0.039705484,35.50904576,60.00945962,20.25540972
1,12,426,MADISON,79,0,19.12177503,0.052973184,52.88466728,59.47433753,37.78401425,0.706999838,0.491122025,0.026984727,1.516541637,5.612823142,0.086993367,33.69312969,51.62178207,27.64855092
3,16,349,MANATEE,1377,5,531.4333782,1.362285931,48.28278735,86.15820998,9.143862937,0.506008535,2.267667878,0.093452027,1.830798648,16.73424422,1.853838091,30.206025,45.03273353,34.91382913
115,29,86,MARION,311,0,227.2582071,0.998853239,47.95917517,82.13913667,13.473083,0.520588815,1.800392803,0.087505591,1.979293122,13.63781575,1.690086423,30.95308867,43.51111321,36.07536037
8,2,727,MARTIN,1170,5,296.3388582,0.751140638,49.41707269,90.14057373,5.747862186,0.93405091,1.475340559,0.1777369,1.524435716,13.94116039,0.75547934,27.22046833,43.03656657,38.85415631
18,11,794,MIAMI-DADE,21917,14,1458.838352,15.77372255,48.54892904,78.83531209,17.94758148,0.279079267,1.657311518,0.04663995,1.234075698,69.05935404,12.9655799,35.77128464,55.54104696,21.92523051
4,5,172,MONROE,129,23,76.63636364,0.460174513,51.987951,89.28385781,6.862862703,0.51714716,1.426153251,0.10262972,1.807349354,24.94835193,0.352250599,27.47544217,52.18787903,31.20609914
1,1,107,NASSAU,92,4,132.4567901,0.239314781,49.22872588,90.60257247,6.045530804,0.499813589,1.024093578,0.083884798,1.744104763,4.478516171,0.402979907,32.05331345,48.2920123,30.05405909
6,3,160,OKALOOSA,332,7,222.8698925,1.136954649,50.65735831,81.12259913,10.3435632,0.726109548,3.25567258,0.230135717,4.321919824,9.694165553,0.973124735,39.5022893,53.39389875,22.33184895
0,0,441,OKEECHOBEE,183,0,54.01430429,0.124519275,53.66059176,86.79249826,9.049762862,1.557647399,1.023184149,0.142042035,1.434865301,25.45441414,0.19501557,36.01126706,50.34788261,26.10925199
46,3,227,ORANGE,3130,0,1528.953488,9.48711041,49.06004078,68.1109916,22.70120125,0.567271094,5.704435246,0.200775724,2.715325084,32.33010658,6.482106827,41.52349083,57.9347334,17.07803237
21,6,228,OSCEOLA,838,0,277.1009036,0.905543012,49.31193782,79.37688524,13.85336558,0.814967798,2.898720074,0.257072203,2.798989103,55.28546971,1.727707333,41.02747357,54.76561863,18.20810348
426,29,594,PALM BEACH,8833,18,753.5197769,7.814321073,48.50542518,74.84092572,19.70212815,0.586497041,2.930870068,0.109223717,1.83035531,22.91948334,6.976469912,32.70392297,48.45952834,30.30416416
15,3,97,PASCO,521,0,722.3962517,1.215162165,48.62702222,87.93061913,6.466097141,0.477734744,2.702407205,0.104145433,2.318996349,15.79081964,2.533554467,32.84083539,48.48692623,29.14978782
102,10,229,PINELLAS,2235,16,3559.416058,5.070480839,47.96858338,82.61258305,11.05251825,0.387478468,3.591789025,0.116684439,2.238946764,10.00656222,4.578924449,29.08539086,49.41401444,32.69768682
75,11,207,POLK,1466,0,393.7758621,2.431050287,49.0006483,78.91651095,16.12324137,0.667364398,1.940229573,0.110168091,2.242485618,23.61961501,3.324091256,37.33285876,49.16236941,26.30531533
6,8,256,PUTNAM,190,0,102.0123796,0.217310172,49.48424417,80.36082683,16.37743889,0.718687216,0.666100347,0.136186508,1.740760217,10.21803325,0.348194133,34.49698637,45.82204064,30.77815083
9,5,162,SANTA ROSA,291,5,423.063228,0.79558344,50.96432096,87.04648479,6.461145588,0.877618498,2.152228337,0.170059493,3.292463298,5.701174804,0.842040769,36.59289988,53.574316,22.36421725
91,21,180,SARASOTA,767,9,561.4125874,0.898668579,47.65254805,91.52695691,4.776222236,0.319180349,1.781973106,0.061867557,1.53379984,9.338251492,2.003434381,24.2096654,39.23856036,44.9165491
13,3,162,SEMINOLE,759,0,177.3976261,0.414804314,48.31007712,78.93816584,12.9230151,0.437977736,4.872903093,0.121411105,2.706527129,21.98118128,2.196463972,36.7251492,55.18904222,21.6368269
6,2,121,ST. JOHNS,307,7,767.4784173,1.926216612,48.77547087,88.7816063,5.538403452,0.315817211,3.189635847,0.08573867,2.088798518,7.202834882,1.193751445,33.19502401,48.67714671,27.24601885
36,11,275,ST. LUCIE,883,3,1514.019417,2.138723937,48.88237712,74.05613961,20.99162951,0.562081164,1.981452879,0.107433796,2.301263048,19.54890262,1.507690971,32.88968885,47.10987519,31.1424105
17,13,207,SUMTER,266,0,235.3820841,0.268675848,49.85786849,90.11914193,7.460739084,0.403094273,0.953756776,0.068347391,0.994920546,5.74972428,0.60449803,12.9401805,25.85473073,66.41424733
18,41,444,SUWANNEE,196,0,64.13788099,0.117870609,51.46523048,84.13025277,12.78314589,0.74675839,0.685659976,0.08599036,1.568192618,9.630920323,0.207476059,35.16100564,48.1432871,28.57595438
0,0,250,TAYLOR,54,0,20.73154362,0.092605678,54.56227166,76.37700597,19.62262406,0.975812792,0.846321047,0.055496462,2.122739675,4.50446284,0.101519649,35.27262637,50.87175693,27.30425935
1,7,254,UNION,38,0,61.2295082,0.032352156,64.41097724,74.28380187,22.65060241,0.528781794,0.742971888,0.040160643,1.753681392,5.709504685,0.070143068,36.05087015,56.80053548,21.47255689
47,9,169,VOLUSIA,928,10,496.8584392,1.77828028,48.80337073,83.89919969,11.38569378,0.473391801,2.006801354,0.078168091,2.156745285,14.52812408,2.570682404,31.99376116,47.84398526,32.0956719
1,3,108,WAKULLA,35,1,53.5660066,0.065541963,53.37789963,83.16441268,13.1018761,0.739348757,0.739348757,0.092418595,2.162595114,3.767598041,0.152403891,35.08209852,54.09876467,22.40842858
9,13,207,WALTON,148,6,68.76204239,0.271520102,50.54991243,89.71348511,5.2441331,0.805604203,1.384238179,0.161120841,2.691418564,6.380385289,0.335104516,32.04343258,49.86339755,28.30823117
9,36,370,WASHINGTON,92,0,42.67581475,0.053164459,53.65755627,80.44212219,14.85932476,1.362540193,0.594855305,0.341639871,2.399517685,3.701768489,0.116811214,35.77974277,54.17202572,23.91881029
